productname	formulation	route	drugsubstance	strength	database	productcode
Citalopram 10mg tablets (Phoenix Healthcare Distribution Ltd)	Tablet	Oral	Citalopram hydrobromide	10mg	Gold	75697
Citalopram 40mg tablets (Kent Pharmaceuticals Ltd)	Tablet	Oral	Citalopram hydrobromide	40mg	Gold	75702
Clomipramine 10mg capsules	Capsule	Oral	Clomipramine hydrochloride	10.000mg	Aurum	262041000033115
Anafranil 10mg capsules	Capsule	Oral	Clomipramine hydrochloride	10.000mg	Aurum	61941000033115
Anafranil 25mg capsules	Capsule	Oral	Clomipramine hydrochloride	25.000mg	Aurum	62041000033114
Clomipramine 25mg capsules	Capsule	Oral	Clomipramine hydrochloride	25.000mg	Aurum	262141000033116
Clomipramine 50mg capsules	Capsule	Oral	Clomipramine hydrochloride	50.000mg	Aurum	262241000033111
Anafranil 50mg capsules	Capsule	Oral	Clomipramine hydrochloride	50.000mg	Aurum	62141000033113
Clomipramine 25mg/5ml oral solution	Oral solution	Oral	Clomipramine hydrochloride	5.000mg/1.000ml	Aurum	284741000033110
Anafranil 25mg/5ml syrup	Oral solution	Oral	Clomipramine hydrochloride	5.000mg/1.000ml	Aurum	68641000033117
Clomipramine 50mg/5ml oral suspension	Oral suspension	Oral	Clomipramine hydrochloride	10.000mg/1.000ml	Aurum	4431541000033115
Clomipramine 75mg modified-release tablets	Modified-release tablet	Oral	Clomipramine hydrochloride	75.000mg	Aurum	285741000033111
Anafranil SR 75mg tablets	Modified-release tablet	Oral	Clomipramine hydrochloride	75.000mg	Aurum	70241000033114
Clomipramine 10mg capsules	Capsule	Oral	Clomipramine hydrochloride	10mg	Gold	3194
Anafranil 25mg capsules (Novartis Pharmaceuticals UK Ltd)	Capsule	Oral	Clomipramine hydrochloride	25mg	Gold	3657
Clomipramine 25mg capsules	Capsule	Oral	Clomipramine hydrochloride	25mg	Gold	3670
Clomipramine 50mg capsules	Capsule	Oral	Clomipramine hydrochloride	50mg	Gold	3925
Anafranil 10mg capsules (Novartis Pharmaceuticals UK Ltd)	Capsule	Oral	Clomipramine hydrochloride	10mg	Gold	7515
Anafranil 50mg capsules (Novartis Pharmaceuticals UK Ltd)	Capsule	Oral	Clomipramine hydrochloride	50mg	Gold	7693
Anafranil SR 75mg tablets (Novartis Pharmaceuticals UK Ltd)	Modified-release tablet	Oral	Clomipramine hydrochloride	75mg	Gold	7894
Clomipramine 75mg modified-release tablets	Modified-release tablet	Oral	Clomipramine hydrochloride	75mg	Gold	8661
Anafranil 25mg/5ml syrup (Novartis Pharmaceuticals UK Ltd)	Oral solution	Oral	Clomipramine hydrochloride	5mg/1ml	Gold	8719
Clomipramine 25mg/5ml oral solution	Oral solution	Oral	Clomipramine hydrochloride	5mg/1ml	Gold	8720
Clomipramine 25mg/2ml solution for injection ampoules	Solution for injection	Intravenous/Intramuscular	Clomipramine hydrochloride	12.5mg/1ml	Gold	26513
Anafranil 25mg/2ml solution for injection ampoules (Novartis Pharmaceuticals UK Ltd)	Solution for injection	Intravenous/Intramuscular	Clomipramine hydrochloride	12.5mg/1ml	Gold	30375
Clomipramine 25mg capsules (A A H Pharmaceuticals Ltd)	Capsule	Oral	Clomipramine hydrochloride	25mg	Gold	34245
Clomipramine 10mg capsules (A A H Pharmaceuticals Ltd)	Capsule	Oral	Clomipramine hydrochloride	10mg	Gold	34866
Clomipramine 50mg/5ml oral suspension	Oral suspension	Oral	Clomipramine hydrochloride	10mg/1ml	Gold	38274
Clomipramine 25mg capsules (IVAX Pharmaceuticals UK Ltd)	Capsule	Oral	Clomipramine hydrochloride	25mg	Gold	41563
Clomipramine 50mg capsules (IVAX Pharmaceuticals UK Ltd)	Capsule	Oral	Clomipramine hydrochloride	50mg	Gold	41597
Clomipramine 10mg capsules (IVAX Pharmaceuticals UK Ltd)	Capsule	Oral	Clomipramine hydrochloride	10mg	Gold	41628
Clomipramine 10mg capsules (Teva UK Ltd)	Capsule	Oral	Clomipramine hydrochloride	10mg	Gold	43561
Clomipramine 50mg capsules (A A H Pharmaceuticals Ltd)	Capsule	Oral	Clomipramine hydrochloride	50mg	Gold	45318
Clomipramine 25mg capsules (Teva UK Ltd)	Capsule	Oral	Clomipramine hydrochloride	25mg	Gold	45350
Clomipramine 50mg/5ml oral solution	Oral solution	Oral	Clomipramine hydrochloride	10mg/1ml	Gold	53161
Clomipramine 50mg capsules (Kent Pharmaceuticals Ltd)	Capsule	Oral	Clomipramine hydrochloride	50mg	Gold	53187
Clomipramine 10mg capsules (Mylan)	Capsule	Oral	Clomipramine hydrochloride	10mg	Gold	62620
Clomipramine 25mg/5ml oral suspension	Oral suspension	Oral	Clomipramine hydrochloride	5mg/1ml	Gold	64458
Clomipramine 25mg capsules (Waymade Healthcare Plc)	Capsule	Oral	Clomipramine hydrochloride	25mg	Gold	65762
Clomipramine 50mg capsules (Teva UK Ltd)	Capsule	Oral	Clomipramine hydrochloride	50mg	Gold	65804
Clomipramine 10mg capsules (Almus Pharmaceuticals Ltd)	Capsule	Oral	Clomipramine hydrochloride	10mg	Gold	68665
Dothapax 25 capsules	Capsule	Oral	Dosulepin hydrochloride	25.000mg	Aurum	472141000033110
Prothiaden 25mg capsules	Capsule	Oral	Dosulepin hydrochloride	25.000mg	Aurum	1111541000033117
Prepadine 25mg capsules	Capsule	Oral	Dosulepin hydrochloride	25.000mg	Aurum	1111641000033116
Dosulepin 25mg capsules	Capsule	Oral	Dosulepin hydrochloride	25.000mg	Aurum	3088941000033118
Dosulepin 75mg tablets	Tablet	Oral	Dosulepin hydrochloride	75.000mg	Aurum	3089041000033110
Prepadine 75mg tablets	Tablet	Oral	Dosulepin hydrochloride	75.000mg	Aurum	1135941000033116
Prothiaden 75mg tablets	Tablet	Oral	Dosulepin hydrochloride	75.000mg	Aurum	1135541000033110
Dothapax 75 tablets	Tablet	Oral	Dosulepin hydrochloride	75.000mg	Aurum	479641000033111
Dosulepin 75mg/5ml oral suspension	Oral suspension	Oral	Dosulepin hydrochloride	15.000mg/1.000ml	Aurum	5992241000033114
Dosulepin 75mg/5ml oral solution	Oral solution	Oral	Dosulepin hydrochloride	15.000mg/1.000ml	Aurum	3089241000033119
Dosulepin 25mg/5ml oral suspension	Oral suspension	Oral	Dosulepin hydrochloride	5.000mg/1.000ml	Aurum	5891041000033116
Dosulepin 25mg/5ml oral solution	Oral solution	Oral	Dosulepin hydrochloride	5.000mg/1.000ml	Aurum	3089141000033114
Dosulepin 75mg tablets	Tablet	Oral	Dosulepin hydrochloride	75mg	Gold	74
Dosulepin 25mg capsules	Capsule	Oral	Dosulepin hydrochloride	25mg	Gold	84
Prothiaden 25mg capsules (Teofarma)	Capsule	Oral	Dosulepin hydrochloride	25mg	Gold	1169
Dothapax 25 capsules (Ashbourne Pharmaceuticals Ltd)	Capsule	Oral	Dosulepin hydrochloride	25mg	Gold	1940
Prothiaden 75mg tablets (Teofarma)	Tablet	Oral	Dosulepin hydrochloride	75mg	Gold	2320
Dosulepin 25mg/5ml oral solution sugar free	Oral Solution Sugar-free	Oral	Dosulepin Hydrochloride	25mg/5ml	Gold	6054
Dosulepin 75mg/5ml oral solution sugar free	Oral Solution Sugar-free	Oral	Dosulepin Hydrochloride	75mg/5ml	Gold	10948
Dothapax 75 tablets (Ashbourne Pharmaceuticals Ltd)	Tablet	Oral	Dosulepin hydrochloride	75mg	Gold	15632
Dosulepin 25mg/5ml mixture	Mixture	Oral	Dosulepin Hydrochloride	25mg/5ml	Gold	19168
Dosulepin 75mg tablets (Actavis UK Ltd)	Tablet	Oral	Dosulepin hydrochloride	75mg	Gold	19186
Thaden 75mg tablets (Opus Pharmaceuticals Ltd)	Tablet	Oral	Dosulepin hydrochloride	75mg	Gold	21157
Prepadine 75mg tablets (Teva UK Ltd)	Tablet	Oral	Dosulepin hydrochloride	75mg	Gold	21819
Prepadine 25mg capsules (Teva UK Ltd)	Capsule	Oral	Dosulepin hydrochloride	25mg	Gold	21820
Dosulepin 25mg capsules (A A H Pharmaceuticals Ltd)	Capsule	Oral	Dosulepin hydrochloride	25mg	Gold	23426
Dosulepin 25mg capsules (Mylan)	Capsule	Oral	Dosulepin hydrochloride	25mg	Gold	29875
Thaden 25mg capsules (Opus Pharmaceuticals Ltd)	Capsule	Oral	Dosulepin hydrochloride	25mg	Gold	30376
Dosulepin 25mg capsules (IVAX Pharmaceuticals UK Ltd)	Capsule	Oral	Dosulepin hydrochloride	25mg	Gold	31824
Dosulepin 75mg tablets (IVAX Pharmaceuticals UK Ltd)	Tablet	Oral	Dosulepin hydrochloride	75mg	Gold	31826
Dosulepin 75mg tablets (A A H Pharmaceuticals Ltd)	Tablet	Oral	Dosulepin hydrochloride	75mg	Gold	32121
Dosulepin 25mg capsules (Sandoz Ltd)	Capsule	Oral	Dosulepin hydrochloride	25mg	Gold	33164
Dosulepin 75mg tablets (Teva UK Ltd)	Tablet	Oral	Dosulepin hydrochloride	75mg	Gold	34058
Dosulepin 25mg capsules (Teva UK Ltd)	Capsule	Oral	Dosulepin hydrochloride	25mg	Gold	34223
Dosulepin 75mg tablets (Mylan)	Tablet	Oral	Dosulepin hydrochloride	75mg	Gold	34525
Dosulepin 25mg capsules (Sovereign Medical Ltd)	Capsule	Oral	Dosulepin hydrochloride	25mg	Gold	34641
Dosulepin 25mg capsules (Almus Pharmaceuticals Ltd)	Capsule	Oral	Dosulepin hydrochloride	25mg	Gold	34643
Dosulepin 25mg capsules (Actavis UK Ltd)	Capsule	Oral	Dosulepin hydrochloride	25mg	Gold	34745
Dosulepin 75mg tablets (Almus Pharmaceuticals Ltd)	Tablet	Oral	Dosulepin hydrochloride	75mg	Gold	42734
Dosulepin 100mg/5ml oral solution	Oral solution	Oral	Dosulepin hydrochloride	20mg/1ml	Gold	43024
Dosulepin 25mg capsules (Kent Pharmaceuticals Ltd)	Capsule	Oral	Dosulepin hydrochloride	25mg	Gold	44853
Dosulepin 25mg/5ml Oral solution (Rosemont Pharmaceuticals Ltd)	Oral Solution	Oral	Dosulepin Hydrochloride	25mg/5ml	Gold	45737
Dosulepin 25mg/5ml oral solution	Oral solution	Oral	Dosulepin hydrochloride	5mg/1ml	Gold	50722
Prothiaden 25mg capsules (Stephar (U.K.) Ltd)	Capsule	Oral	Dosulepin hydrochloride	25mg	Gold	51758
Dosulepin 75mg/5ml oral solution	Oral solution	Oral	Dosulepin hydrochloride	15mg/1ml	Gold	57926
Dosulepin 75mg tablets (Sandoz Ltd)	Tablet	Oral	Dosulepin hydrochloride	75mg	Gold	62681
Dosulepin 75mg tablets (Alliance Healthcare (Distribution) Ltd)	Tablet	Oral	Dosulepin hydrochloride	75mg	Gold	67728
Prothiaden 25mg capsules (Sigma Pharmaceuticals Plc)	Capsule	Oral	Dosulepin hydrochloride	25mg	Gold	67990
Dosulepin 25mg/5ml oral suspension	Oral suspension	Oral	Dosulepin hydrochloride	5mg/1ml	Gold	70593
Dosulepin 25mg Capsule (Celltech Pharma Europe Ltd)	Capsule	Oral	Dosulepin hydrochloride	25mg	Gold	70838
Dosulepin 25mg/5ml oral solution sugar free (Special Order)	Oral solution	Oral	Dosulepin hydrochloride	5mg/1ml	Gold	71023
Dosulepin 75mg tablets (Sovereign Medical Ltd)	Tablet	Oral	Dosulepin hydrochloride	75mg	Gold	71059
Sinequan 10mg capsules	Capsule	Oral	Doxepin hydrochloride	10.000mg	Aurum	1294541000033115
Doxepin 10mg capsules	Capsule	Oral	Doxepin hydrochloride	10.000mg	Aurum	473041000033119
Doxepin 25mg capsules	Capsule	Oral	Doxepin hydrochloride	25.000mg	Aurum	473141000033115
Sinequan 25mg capsules	Capsule	Oral	Doxepin hydrochloride	25.000mg	Aurum	1294641000033119
Sinepin 25mg capsules	Capsule	Oral	Doxepin hydrochloride	25.000mg	Aurum	4010441000033114
Sinepin 50mg capsules	Capsule	Oral	Doxepin hydrochloride	50.000mg	Aurum	4010541000033110
Sinequan 50mg capsules	Capsule	Oral	Doxepin hydrochloride	50.000mg	Aurum	1294741000033111
Doxepin 50mg capsules	Capsule	Oral	Doxepin hydrochloride	50.000mg	Aurum	473241000033110
Doxepin 75mg capsules	Capsule	Oral	Doxepin hydrochloride	75.000mg	Aurum	473341000033117
Sinequan 75mg capsules	Capsule	Oral	Doxepin hydrochloride	75.000mg	Aurum	1294841000033118
Doxepin 5% cream	Cream	Cutaneous	Doxepin hydrochloride	50.000mg/1.000gram	Aurum	1603341000033112
Xepin 5% cream	Cream	Cutaneous	Doxepin hydrochloride	50.000mg/1.000gram	Aurum	1712041000033111
Doxepin 50mg/5ml oral solution	Oral solution	Oral	Doxepin hydrochloride	10.000mg/1.000ml	Aurum	4954041000033114
Doxepin 25mg capsules	Capsule	Oral	Doxepin hydrochloride	25mg	Gold	3554
Doxepin 10mg capsules	Capsule	Oral	Doxepin hydrochloride	10mg	Gold	3842
Doxepin 50mg capsules	Capsule	Oral	Doxepin hydrochloride	50mg	Gold	5073
Doxepin 5% cream	Cream	Cutaneous	Doxepin hydrochloride	50mg/1gram	Gold	5190
Doxepin 75mg capsules	Capsule	Oral	Doxepin hydrochloride	75mg	Gold	7059
Xepin 5% Cream (Bioglan Laboratories Ltd)	Cream	Cutaneous	Doxepin hydrochloride	50mg/1gram	Gold	9558
Sinequan 10mg capsules (Pfizer Ltd)	Capsule	Oral	Doxepin hydrochloride	10mg	Gold	10413
Sinequan 50mg capsules (Pfizer Ltd)	Capsule	Oral	Doxepin hydrochloride	50mg	Gold	12125
Sinequan 25mg capsules (Pfizer Ltd)	Capsule	Oral	Doxepin hydrochloride	25mg	Gold	12129
Sinequan 75mg capsules (Pfizer Ltd)	Capsule	Oral	Doxepin hydrochloride	75mg	Gold	14519
Xepin 5% cream (Cambridge Healthcare Supplies Ltd)	Cream	Cutaneous	Doxepin hydrochloride	50mg/1gram	Gold	15975
Sinepin 25mg capsules (Marlborough Pharmaceuticals Ltd)	Capsule	Oral	Doxepin hydrochloride	25mg	Gold	35258
Sinepin 50mg capsules (Marlborough Pharmaceuticals Ltd)	Capsule	Oral	Doxepin hydrochloride	50mg	Gold	35493
Doxepin 25mg/5ml oral suspension	Oral Suspension	Oral	Doxepin Hydrochloride	25mg/5ml	Gold	40777
Doxepin 50mg/5ml oral solution	Oral solution	Oral	Doxepin hydrochloride	10mg/1ml	Gold	73363
Duciltia 60mg gastro-resistant capsules	Gastro-resistant capsule	Oral	Duloxetine hydrochloride	60.000mg	Aurum	10701941000033111
Depalta 60mg gastro-resistant capsules	Gastro-resistant capsule	Oral	Duloxetine hydrochloride	60.000mg	Aurum	12476041000033112
Duloxetine 60mg gastro-resistant capsules	Gastro-resistant capsule	Oral	Duloxetine hydrochloride	60.000mg	Aurum	3226741000033119
Cymbalta 60mg gastro-resistant capsules	Gastro-resistant capsule	Oral	Duloxetine hydrochloride	60.000mg	Aurum	3226941000033116
Duciltia 30mg gastro-resistant capsules	Gastro-resistant capsule	Oral	Duloxetine hydrochloride	30.000mg	Aurum	10701841000033115
Depalta 30mg gastro-resistant capsules	Gastro-resistant capsule	Oral	Duloxetine hydrochloride	30.000mg	Aurum	12475941000033119
Duloxetine 30mg gastro-resistant capsules	Gastro-resistant capsule	Oral	Duloxetine hydrochloride	30.000mg	Aurum	3226641000033111
Cymbalta 30mg gastro-resistant capsules	Gastro-resistant capsule	Oral	Duloxetine hydrochloride	30.000mg	Aurum	3226841000033112
Duloxetine 20mg gastro-resistant capsules	Gastro-resistant capsule	Oral	Duloxetine hydrochloride	20.000mg	Aurum	3177641000033112
Yentreve 20mg gastro-resistant capsules	Gastro-resistant capsule	Oral	Duloxetine hydrochloride	20.000mg	Aurum	3177841000033113
Yentreve 40mg gastro-resistant capsules	Gastro-resistant capsule	Oral	Duloxetine hydrochloride	40.000mg	Aurum	3177941000033117
Duloxetine 40mg gastro-resistant capsules	Gastro-resistant capsule	Oral	Duloxetine hydrochloride	40.000mg	Aurum	3177741000033115
Duloxetine 60mg gastro-resistant capsules	Gastro-resistant capsule	Oral	Duloxetine hydrochloride	60mg	Gold	6895
Duloxetine 30mg gastro-resistant capsules	Gastro-resistant capsule	Oral	Duloxetine hydrochloride	30mg	Gold	7122
Duloxetine 40mg gastro-resistant capsules	Gastro-resistant capsule	Oral	Duloxetine hydrochloride	40mg	Gold	7147
Duloxetine 20mg gastro-resistant capsules	Gastro-resistant capsule	Oral	Duloxetine hydrochloride	20mg	Gold	7153
Cymbalta 30mg gastro-resistant capsules (Eli Lilly and Company Ltd)	Gastro-resistant capsule	Oral	Duloxetine hydrochloride	30mg	Gold	13151
Yentreve 40mg gastro-resistant capsules (Eli Lilly and Company Ltd)	Gastro-resistant capsule	Oral	Duloxetine hydrochloride	40mg	Gold	14803
Cymbalta 60mg gastro-resistant capsules (Eli Lilly and Company Ltd)	Gastro-resistant capsule	Oral	Duloxetine hydrochloride	60mg	Gold	14849
Yentreve 20mg gastro-resistant capsules (Eli Lilly and Company Ltd)	Gastro-resistant capsule	Oral	Duloxetine hydrochloride	20mg	Gold	16969
Duloxetine 60mg gastro-resistant capsules (Sigma Pharmaceuticals Plc)	Gastro-resistant capsule	Oral	Duloxetine hydrochloride	60mg	Gold	51383
Duloxetine 30mg gastro-resistant capsules (Sigma Pharmaceuticals Plc)	Gastro-resistant capsule	Oral	Duloxetine hydrochloride	30mg	Gold	62688
Cymbalta 60mg gastro-resistant capsules (Mawdsley-Brooks & Company Ltd)	Gastro-resistant capsule	Oral	Duloxetine hydrochloride	60mg	Gold	63216
Duloxetine 30mg gastro-resistant capsules (Mawdsley-Brooks & Company Ltd)	Gastro-resistant capsule	Oral	Duloxetine hydrochloride	30mg	Gold	63370
Duloxetine 60mg gastro-resistant capsules (A A H Pharmaceuticals Ltd)	Gastro-resistant capsule	Oral	Duloxetine hydrochloride	60mg	Gold	63763
Duloxetine 60mg gastro-resistant capsules (Teva UK Ltd)	Gastro-resistant capsule	Oral	Duloxetine hydrochloride	60mg	Gold	64442
Duloxetine 20mg gastro-resistant capsules (DE Pharmaceuticals)	Gastro-resistant capsule	Oral	Duloxetine hydrochloride	20mg	Gold	65165
Duloxetine 30mg gastro-resistant capsules (A A H Pharmaceuticals Ltd)	Gastro-resistant capsule	Oral	Duloxetine hydrochloride	30mg	Gold	65618
Duloxetine 30mg gastro-resistant capsules (Actavis UK Ltd)	Gastro-resistant capsule	Oral	Duloxetine hydrochloride	30mg	Gold	65809
Duloxetine 60mg gastro-resistant capsules (Actavis UK Ltd)	Gastro-resistant capsule	Oral	Duloxetine hydrochloride	60mg	Gold	65888
Duloxetine 60mg gastro-resistant capsules (Mawdsley-Brooks & Company Ltd)	Gastro-resistant capsule	Oral	Duloxetine hydrochloride	60mg	Gold	65892
Duloxetine 60mg gastro-resistant capsules (DE Pharmaceuticals)	Gastro-resistant capsule	Oral	Duloxetine hydrochloride	60mg	Gold	66405
Duloxetine 30mg gastro-resistant capsules (DE Pharmaceuticals)	Gastro-resistant capsule	Oral	Duloxetine hydrochloride	30mg	Gold	66412
Duloxetine 20mg gastro-resistant capsules (Actavis UK Ltd)	Gastro-resistant capsule	Oral	Duloxetine hydrochloride	20mg	Gold	67564
Duloxetine 60mg gastro-resistant capsules (Zentiva)	Gastro-resistant capsule	Oral	Duloxetine hydrochloride	60mg	Gold	68096
Duloxetine 60mg gastro-resistant capsules (Alliance Healthcare (Distribution) Ltd)	Gastro-resistant capsule	Oral	Duloxetine hydrochloride	60mg	Gold	69428
Duloxetine 60mg gastro-resistant capsules (Creo Pharma Ltd)	Gastro-resistant capsule	Oral	Duloxetine hydrochloride	60mg	Gold	69752
Duloxetine 60mg gastro-resistant capsules (Consilient Health Ltd)	Gastro-resistant capsule	Oral	Duloxetine hydrochloride	60mg	Gold	69965
Duloxetine 20mg gastro-resistant capsules (A A H Pharmaceuticals Ltd)	Gastro-resistant capsule	Oral	Duloxetine hydrochloride	20mg	Gold	70063
Duloxetine 30mg gastro-resistant capsules (Teva UK Ltd)	Gastro-resistant capsule	Oral	Duloxetine hydrochloride	30mg	Gold	70405
Duloxetine 30mg gastro-resistant capsules (Alliance Healthcare (Distribution) Ltd)	Gastro-resistant capsule	Oral	Duloxetine hydrochloride	30mg	Gold	70728
Duloxetine 20mg gastro-resistant capsules (Zentiva)	Gastro-resistant capsule	Oral	Duloxetine hydrochloride	20mg	Gold	71669
Duloxetine 60mg gastro-resistant capsules (Dr Reddy's Laboratories (UK) Ltd)	Gastro-resistant capsule	Oral	Duloxetine hydrochloride	60mg	Gold	72211
Depalta 30mg gastro-resistant capsules (Disposable Medical Equipment Ltd)	Gastro-resistant capsule	Oral	Duloxetine hydrochloride	30mg	Gold	73298
Depalta 60mg gastro-resistant capsules (Disposable Medical Equipment Ltd)	Gastro-resistant capsule	Oral	Duloxetine hydrochloride	60mg	Gold	73540
Duloxetine 60mg gastro-resistant capsules (Aspire Pharma Ltd)	Gastro-resistant capsule	Oral	Duloxetine hydrochloride	60mg	Gold	73868
Duciltia 60mg gastro-resistant capsules (Aristo Pharma Ltd)	Gastro-resistant capsule	Oral	Duloxetine hydrochloride	60mg	Gold	74190
Duloxetine 60mg/5ml oral suspension	Oral suspension	Oral	Duloxetine hydrochloride	12mg/1ml	Gold	74774
Duloxetine 30mg gastro-resistant capsules (Creo Pharma Ltd)	Gastro-resistant capsule	Oral	Duloxetine hydrochloride	30mg	Gold	74907
Prozac 20mg capsules	Capsule	Oral	Fluoxetine hydrochloride	20.000mg	Aurum	1112441000033114
Felicium 20mg capsules	Capsule	Oral	Fluoxetine hydrochloride	20.000mg	Aurum	1923141000033118
Oxactin 20mg capsules	Capsule	Oral	Fluoxetine hydrochloride	20.000mg	Aurum	2602041000033119
Ranflutin 20mg capsules	Capsule	Oral	Fluoxetine hydrochloride	20.000mg	Aurum	2710441000033119
Fluoxetine 20mg capsules	Capsule	Oral	Fluoxetine hydrochloride	20.000mg	Aurum	577841000033114
Fluoxetine 20mg/5ml oral solution	Oral solution	Oral	Fluoxetine hydrochloride	4.000mg/1.000ml	Aurum	2770641000033114
Prozac 20mg/5ml liquid	Oral solution	Oral	Fluoxetine hydrochloride	4.000mg/1.000ml	Aurum	1129541000033110
Prozit 20mg/5ml oral solution	Oral solution	Oral	Fluoxetine hydrochloride	4.000mg/1.000ml	Aurum	2770541000033113
Prozac 60mg capsules	Capsule	Oral	Fluoxetine hydrochloride	60.000mg	Aurum	1111941000033111
Fluoxetine 60mg capsules	Capsule	Oral	Fluoxetine hydrochloride	60.000mg	Aurum	579041000033111
Fluoxetine 10mg capsules	Capsule	Oral	Fluoxetine hydrochloride	10.000mg	Aurum	11603841000033119
Fluoxetine 10mg tablets	Tablet	Oral	Fluoxetine hydrochloride	10.000mg	Aurum	6496341000033116
Fluoxetine 40mg capsules	Capsule	Oral	Fluoxetine hydrochloride	40.000mg	Aurum	11707541000033118
Fluoxetine 20mg/5ml oral solution sugar free	Oral solution	Oral	Fluoxetine hydrochloride	4.000mg/1.000ml	Aurum	5749441000033115
Prozep 20mg/5ml oral solution	Oral solution	Oral	Fluoxetine hydrochloride	4.000mg/1.000ml	Aurum	4498641000033115
Fluoxetine 20mg dispersible tablets sugar free	Dispersible tablet	Oral	Fluoxetine hydrochloride	20.000mg	Aurum	9120641000033112
Olena 20mg dispersible tablets	Dispersible tablet	Oral	Fluoxetine hydrochloride	20.000mg	Aurum	9120741000033115
Fluoxetine 30mg capsules	Capsule	Oral	Fluoxetine hydrochloride	30.000mg	Aurum	11707441000033119
Fluoxetine 20mg capsules	Capsule	Oral	Fluoxetine hydrochloride	20mg	Gold	22
Prozac 20mg/5ml liquid (Eli Lilly and Company Ltd)	Oral solution	Oral	Fluoxetine hydrochloride	4mg/1ml	Gold	252
Prozac 20mg capsules (Eli Lilly and Company Ltd)	Capsule	Oral	Fluoxetine hydrochloride	20mg	Gold	418
Fluoxetine 20mg/5ml oral solution	Oral solution	Oral	Fluoxetine hydrochloride	4mg/1ml	Gold	2548
Fluoxetine 60mg capsules	Capsule	Oral	Fluoxetine hydrochloride	60mg	Gold	4075
Prozac 60mg capsules (Eli Lilly and Company Ltd)	Capsule	Oral	Fluoxetine hydrochloride	60mg	Gold	4907
Oxactin 20mg capsules (Discovery Pharmaceuticals)	Capsule	Oral	Fluoxetine hydrochloride	20mg	Gold	14740
Fluoxetine 20mg capsules (A A H Pharmaceuticals Ltd)	Capsule	Oral	Fluoxetine hydrochloride	20mg	Gold	19183
Fluoxetine 20mg capsules (Ranbaxy (UK) Ltd)	Capsule	Oral	Fluoxetine hydrochloride	20mg	Gold	19470
Ranflutin 20mg capsules (Ranbaxy (UK) Ltd)	Capsule	Oral	Fluoxetine hydrochloride	20mg	Gold	29786
Fluoxetine 20mg/5ml oral solution (Teva UK Ltd)	Oral solution	Oral	Fluoxetine hydrochloride	4mg/1ml	Gold	30258
Felicium 20mg capsules (Opus Pharmaceuticals Ltd)	Capsule	Oral	Fluoxetine hydrochloride	20mg	Gold	33071
Fluoxetine 20mg capsules (Zentiva)	Capsule	Oral	Fluoxetine hydrochloride	20mg	Gold	33410
Prozit 20mg/5ml oral solution (Pinewood Healthcare)	Oral solution	Oral	Fluoxetine hydrochloride	4mg/1ml	Gold	33779
Fluoxetine 20mg capsules (Genus Pharmaceuticals Ltd)	Capsule	Oral	Fluoxetine hydrochloride	20mg	Gold	34202
Fluoxetine 20mg/5ml oral solution (A A H Pharmaceuticals Ltd)	Oral solution	Oral	Fluoxetine hydrochloride	4mg/1ml	Gold	34216
Fluoxetine 20mg capsules (Mylan)	Capsule	Oral	Fluoxetine hydrochloride	20mg	Gold	34288
Fluoxetine 20mg capsules (IVAX Pharmaceuticals UK Ltd)	Capsule	Oral	Fluoxetine hydrochloride	20mg	Gold	34294
Fluoxetine 20mg capsules (Teva UK Ltd)	Capsule	Oral	Fluoxetine hydrochloride	20mg	Gold	34456
Fluoxetine 20mg capsules (Tillomed Laboratories Ltd)	Capsule	Oral	Fluoxetine hydrochloride	20mg	Gold	34849
Fluoxetine 60mg capsules (Mylan)	Capsule	Oral	Fluoxetine hydrochloride	60mg	Gold	34856
Fluoxetine 20mg/5ml oral solution sugar free	Oral solution	Oral	Fluoxetine hydrochloride	4mg/1ml	Gold	36893
Prozep 20mg/5ml oral solution (Chemidex Pharma Ltd)	Oral solution	Oral	Fluoxetine hydrochloride	4mg/1ml	Gold	37256
Fluoxetine 20mg Capsule (Milpharm Ltd)	Capsule	Oral	Fluoxetine hydrochloride	20mg	Gold	38890
Fluoxetine 20mg capsules (Niche Generics Ltd)	Capsule	Oral	Fluoxetine hydrochloride	20mg	Gold	42107
Fluoxetine 10mg tablets	Tablet	Oral	Fluoxetine hydrochloride	10mg	Gold	42499
Fluoxetine 20mg/5ml oral solution (IVAX Pharmaceuticals UK Ltd)	Oral solution	Oral	Fluoxetine hydrochloride	4mg/1ml	Gold	42803
Fluoxetine 20mg capsules (Sandoz Ltd)	Capsule	Oral	Fluoxetine hydrochloride	20mg	Gold	45224
Fluoxetine 20mg capsules (Fannin UK Ltd)	Capsule	Oral	Fluoxetine hydrochloride	20mg	Gold	45247
Fluoxetine 20mg capsules (Wockhardt UK Ltd)	Capsule	Oral	Fluoxetine hydrochloride	20mg	Gold	45316
Fluoxetine 20mg capsules (Actavis UK Ltd)	Capsule	Oral	Fluoxetine hydrochloride	20mg	Gold	45329
Prozac 20mg capsules (Lexon (UK) Ltd)	Capsule	Oral	Fluoxetine hydrochloride	20mg	Gold	48220
Prozac 20mg capsules (Waymade Healthcare Plc)	Capsule	Oral	Fluoxetine hydrochloride	20mg	Gold	57532
Fluoxetine 20mg capsules (Milpharm Ltd)	Capsule	Oral	Fluoxetine hydrochloride	20mg	Gold	59358
