medcode	readcode	readterm	condition	score
25641	BB5D513	[m]liver cell carcinoma	Any malignancy	2
25704	Eu00011	"[x]presenile dementia,alzheimer's type"	Dementia	1
25705	9OJ6.00	asthma monitor 3rd letter	Chronic pulmonary disease	1
25706	9OJ5.00	asthma monitor 2nd letter	Chronic pulmonary disease	1
25707	9OJ4.00	asthma monitor 1st letter	Chronic pulmonary disease	1
25791	8CR0.00	asthma clinical management plan	Chronic pulmonary disease	1
25796	H332.00	mixed asthma	Chronic pulmonary disease	1
25844	7A32000	percutaneous transluminal angioplasty of renal artery	Peripheral vascular disease	1
2587	B22z.11	lung cancer	Any malignancy	2
25886	B222100	malignant neoplasm of upper lobe of lung	Any malignancy	2
25961	BB17.00	[m]large cell carcinoma nos	Any malignancy	2
25980	K08z.00	impaired renal function disorder nos	Renal disease	2
26018	66YS.00	chronic obstructive pulmonary disease monitoring by nurse	Chronic pulmonary disease	1
26034	B591.00	other malignant neoplasm nos	Metastatic solid tumour	4
26054	C10FL00	type 2 diabetes mellitus with persistent proteinuria	Diabetes with end-organ damage	2
26082	H541000	chronic pulmonary oedema	Chronic pulmonary disease	1
26108	C10B000	steroid induced diabetes mellitus without complication	Diabetes (uncomplicated)	1
26115	8HHb.00	referral to heart failure nurse	Congestive heart failure	1
26120	BB5V.00	[m]pituitary adenomas and carcinomas	Any malignancy	2
26125	H312300	bronchiolitis obliterans	Chronic pulmonary disease	1
26134	B064000	"malignant neoplasm of epiglottis, free border"	Any malignancy	2
26142	3AE..00	global deterioration scale: assessment of prim deg dementia	Dementia	1
26165	B211.00	malignant neoplasm of supraglottis	Any malignancy	2
26232	7A14411	tube graft of abdominal aortic aneurysm	Peripheral vascular disease	1
26242	ZRad.00	new york heart assoc classification heart failure symptoms	Congestive heart failure	1
26253	BB5R900	[m]neuroendocrine carcinoma	Any malignancy	2
26261	ZV12711	[v]personal history of peptic ulcer	Peptic ulcer disease	1
26270	Eu02500	[x]lewy body dementia	Dementia	1
26278	H357.00	'ventilation' pneumonitis	Chronic pulmonary disease	1
26306	H320.00	chronic bullous emphysema	Chronic pulmonary disease	1
26319	G852200	oesophageal varices in cirrhosis of the liver	Moderate or severe liver disease	3
26323	Eu10711	[x]alcoholic dementia nos	Dementia	1
26326	3AD..00	dementia test	Dementia	1
26367	A707.00	chronic viral hepatitis	Mild liver disease	1
26393	B152.00	malignant neoplasm of liver unspecified	Any malignancy	2
2640	F24z.00	paralysis nos	Hemiplegia or paraplegia	2
26413	BB1A.00	[m]pleomorphic carcinoma	Any malignancy	2
26424	G64z400	infarction of basal ganglia	Cerebrovascular disease	1
26442	H441.00	cannabinosis	Chronic pulmonary disease	1
26448	B060000	malignant neoplasm of faucial tonsil	Any malignancy	2
26454	B45X.00	malignant neoplasm/overlapping lesion/feml genital organs	Any malignancy	2
26496	679J.00	health education - asthma	Chronic pulmonary disease	1
26501	663s.00	asthma never causes daytime symptoms	Chronic pulmonary disease	1
26503	663v.00	asthma causes daytime symptoms most days	Chronic pulmonary disease	1
26504	663f.00	asthma never restricts exercise	Chronic pulmonary disease	1
26506	6.63E+102	asthma severely restricts exercise	Chronic pulmonary disease	1
2652	G634.00	carotid artery stenosis	Cerebrovascular disease	1
2654	7A20400	endarterectomy of carotid artery nec	Cerebrovascular disease	1
26603	9OL2.00	refuses diabetes monitoring	Diabetes (uncomplicated)	1
26604	66AY.00	diabetic diet - good compliance	Diabetes (uncomplicated)	1
26605	9OLB.00	attended diabetes structured education programme	Diabetes (uncomplicated)	1
26664	2G5B.00	o/e - left diabetic foot at risk	Diabetes (uncomplicated)	1
26666	2G5E.00	o/e - right diabetic foot at low risk	Diabetes (uncomplicated)	1
26667	2G5I.00	o/e - left diabetic foot at low risk	Diabetes (uncomplicated)	1
26813	B21y.00	"malignant neoplasm of larynx, other specified site"	Any malignancy	2
26814	BB5D512	"[m]hepatoma, malignant"	Any malignancy	2
26846	B81y700	carcinoma in situ of ethmoidal sinus	Any malignancy	2
26848	BB5S.00	[m]respiratory tract adenomas and adenocarcinomas	Any malignancy	2
26853	B340.00	malignant neoplasm of nipple and areola of female breast	Any malignancy	2
26855	C108400	unstable insulin dependent diabetes mellitus	Diabetes (uncomplicated)	1
26858	BB5C.00	[m]gastrinoma and carcinomas	Any malignancy	2
26861	6.63E+02	asthma sometimes restricts exercise	Chronic pulmonary disease	1
26862	7B06300	exploration of renal transplant	Renal disease	2
27053	4J34.00	hiv viral load	HIV/AIDS	4
27311	B835.00	carcinoma in situ of penis	Any malignancy	2
27330	B624.00	leukaemic reticuloendotheliosis	Any malignancy	2
27335	K03y000	other nephritis and nephrosis in diseases ec	Renal disease	2
27342	E012.11	alcoholic dementia nos	Dementia	1
27345	H352.00	bird-fancier's lung	Chronic pulmonary disease	1
27348	H561.00	idiopathic pulmonary haemosiderosis	Chronic pulmonary disease	1
27363	BBd2.00	"[m]meningioma, malignant"	Any malignancy	2
27370	B333.00	malignant neoplasm skin of other and unspecified parts face	Any malignancy	2
27377	F152200	progressive bulbar palsy	Hemiplegia or paraplegia	2
27389	G72yA00	aneurysm of hepatic artery	Peripheral vascular disease	1
27391	B576100	secondary malignant neoplasm of peritoneum	Metastatic solid tumour	4
27416	B601.00	lymphosarcoma	Any malignancy	2
27427	K01z.00	nephrotic syndrome nos	Renal disease	2
27438	J615700	cardiac portal cirrhosis	Congestive heart failure	1
27439	BBTA.00	[m]kaposi's sarcoma	Any malignancy	2
2744	B40..00	"malignant neoplasm of uterus, part unspecified"	Any malignancy	2
27449	B554.00	malignant neoplasm of upper limb nos	Any malignancy	2
2747	B41..00	malignant neoplasm of cervix uteri	Any malignancy	2
27483	B240.00	malignant neoplasm of thymus	Any malignancy	2
27494	G74y300	embolism and thrombosis of the iliac artery unspecified	Peripheral vascular disease	1
27509	BBP1.00	"[m]mesothelioma, malignant"	Any malignancy	2
27528	B303.00	"malignant neoplasm of ribs, sternum and clavicle"	Any malignancy	2
27540	B4A1000	malignant neoplasm of renal calyces	Any malignancy	2
27542	B827300	carcinoma in situ of skin of lower leg	Any malignancy	2
27557	N043z00	juvenile rheumatoid arthritis nos	Rheumatic disease	1
27562	BBk0.12	[m]follicular lymphosarcoma nos	Any malignancy	2
27563	G711.00	thoracic aortic aneurysm which has ruptured	Peripheral vascular disease	1
27580	7A48000	bypass femoral artery by fem/pop art anast c prosthesis nec	Peripheral vascular disease	1
2760	G73zz00	peripheral vascular disease nos	Peripheral vascular disease	1
27603	N04..00	rheumatoid arthritis and other inflammatory polyarthropathy	Rheumatic disease	1
2761	7A12100	bypass bifurc aorta by anastom aorta to femoral artery nec	Peripheral vascular disease	1
27617	B45y000	malignant neoplasm of overlapping lesion of vulva	Any malignancy	2
27641	A789300	hiv disease resulting in pneumocystis carinii pneumonia	HIV/AIDS	4
27651	B58..11	secondary carcinoma of other specified sites	Metastatic solid tumour	4
27663	J63X.00	"granulomatous hepatitis, not elsewhere classified"	Mild liver disease	1
27677	E001300	presenile dementia with depression	Dementia	1
27715	B242.00	malignant neoplasm of anterior mediastinum	Any malignancy	2
27728	BB90.00	"[m]intraductal carcinoma, noninfiltrating nos"	Any malignancy	2
2773	K0...00	"nephritis, nephrosis and nephrotic syndrome"	Renal disease	2
27759	Eu02z16	"[x] senile dementia, depressed or paranoid type"	Dementia	1
27805	F342100	tardy ulnar nerve palsy	Hemiplegia or paraplegia	2
27811	B804000	carcinoma in situ of rectosigmoid junction	Any malignancy	2
27819	H312.00	obstructive chronic bronchitis	Chronic pulmonary disease	1
27827	BB51.00	[m]adenocarcinoma in situ	Any malignancy	2
27849	BB5U200	[m]villous adenocarcinoma	Any malignancy	2
27853	A789500	hiv disease resulting in kaposi's sarcoma	Any malignancy	2
27855	B140.00	malignant neoplasm of rectosigmoid junction	Any malignancy	2
27884	G580200	decompensated cardiac failure	Congestive heart failure	1
27891	N030100	diabetic charcot arthropathy	Diabetes with end-organ damage	2
27897	B143.00	malignant neoplasm of anus unspecified	Any malignancy	2
27926	H330100	extrinsic asthma with status asthmaticus	Chronic pulmonary disease	1
27931	B33z000	kaposi's sarcoma of skin	Any malignancy	2
27944	B800100	carcinoma in situ of tongue	Any malignancy	2
27964	G582.00	acute heart failure	Congestive heart failure	1
27965	BBv2.00	[m]angiocentrict-cell lymphoma	Any malignancy	2
27966	F231.00	congenital hemiplegia	Hemiplegia or paraplegia	2
27975	G641000	cerebral infarction due to embolism of cerebral arteries	Cerebrovascular disease	1
28003	B420.00	choriocarcinoma	Any malignancy	2
28059	B560600	secondary and unspec malig neop of facial lymph nodes	Metastatic solid tumour	4
28062	G743.00	embolism and thrombosis of other and unspec parts aorta	Peripheral vascular disease	1
28069	B505.00	malignant neoplasm of retina	Any malignancy	2
28109	G714100	inflammatory abdominal aortic aneurysm	Peripheral vascular disease	1
2812	14C1.00	h/o: peptic ulcer	Peptic ulcer disease	1
2814	J12y100	unspecified duodenal ulcer with haemorrhage	Peptic ulcer disease	1
28148	B540.00	malignant neoplasm of adrenal gland	Any malignancy	2
2815	B133.00	malignant neoplasm of sigmoid colon	Any malignancy	2
28158	TB11.00	"kidney dialysis with complication, without blame"	Renal disease	2
28163	B13z.00	malignant neoplasm of colon nos	Any malignancy	2
28229	H563z00	idiopathic fibrosing alveolitis nos	Chronic pulmonary disease	1
28241	B496.00	malignant neoplasm of ureteric orifice	Any malignancy	2
28272	BB57.00	"[m]adenocarcinoma, intestinal type"	Any malignancy	2
28291	BB69.00	[m]sebaceous adenoma and adenocarcinoma	Any malignancy	2
28306	F23z.00	congenital cerebral palsy nos	Hemiplegia or paraplegia	2
28311	B41z.00	malignant neoplasm of cervix uteri nos	Any malignancy	2
28314	G61X000	"left sided intracerebral haemorrhage, unspecified"	Cerebrovascular disease	1
28316	N003X00	"dermatopolymyositis, unspecified"	Rheumatic disease	1
28331	7L0D111	correction of erb's palsy	Hemiplegia or paraplegia	2
2834	A705000	viral hepatitis c without mention of hepatic coma	Mild liver disease	1
2835	43C3.11	hiv positive	HIV/AIDS	4
28366	J12yy00	unspec duodenal ulcer; unspec haemorrhage and/or perforation	Peptic ulcer disease	1
28388	BB5jz00	[m]endometrioid adenoma or carcinoma nos	Any malignancy	2
28402	Eu02000	[x]dementia in pick's disease	Dementia	1
28417	N001.12	systemic sclerosis	Rheumatic disease	1
28451	B08z.00	malignant neoplasm of hypopharynx nos	Any malignancy	2
28556	B32z.00	malignant melanoma of skin nos	Any malignancy	2
28559	B055z00	malignant neoplasm of palate nos	Any malignancy	2
28574	9h4..00	exception reporting: diabetes quality indicators	Diabetes (uncomplicated)	1
28599	BBJ1.00	[m]liposarcoma nos	Any malignancy	2
2860	A703.00	viral (serum) hepatitis b	Mild liver disease	1
28616	7A41100	bypass iliac artery by iliac/femoral artery anastomosis nec	Peripheral vascular disease	1
28625	BB71.00	[m]mucoepidermoid carcinoma	Any malignancy	2
28626	13Y7.00	alzheimer's disease society member	Dementia	1
28628	BBJ3.00	"[m]liposarcoma, well differentiated type"	Any malignancy	2
28639	B627000	follicular non-hodgkin's small cleaved cell lymphoma	Any malignancy	2
28665	B07z.00	malignant neoplasm of nasopharynx nos	Any malignancy	2
28684	G233.00	hypertensive heart and renal disease with renal failure	Renal disease	2
28695	H52z.00	pneumothorax nos	Chronic pulmonary disease	1
28727	B575000	secondary malignant neoplasm of colon	Metastatic solid tumour	4
28743	66Yf.00	number of copd exacerbations in past year	Chronic pulmonary disease	1
28753	9Om0.00	stroke/transient ischaemic attack monitoring first letter	Cerebrovascular disease	1
28755	9Oi0.00	chronic obstructive pulmonary disease monitoring 1st letter	Chronic pulmonary disease	1
28769	66AV.00	diabetic on insulin and oral treatment	Diabetes (uncomplicated)	1
2877	J11z.11	gastric erosions	Peptic ulcer disease	1
28798	J63y100	nonspecific reactive hepatitis	Mild liver disease	1
28840	7A4A500	operation on aneurysm of femoral artery nec	Peripheral vascular disease	1
28853	N04y012	fibrosing alveolitis associated with rheumatoid arthritis	Chronic pulmonary disease	1
28856	8CP2.00	transition of diabetes care options discussed	Diabetes (uncomplicated)	1
28873	66Ai.00	diabetic 6 month review	Diabetes (uncomplicated)	1
28881	ZV10513	[v]personal history of malignant neoplasm of kidney	Any malignancy	2
2890	B430200	malignant neoplasm of endometrium of corpus uteri	Any malignancy	2
28914	662o.00	haemorrhagic stroke monitoring	Cerebrovascular disease	1
28919	B521.00	malignant neoplasm of cerebral meninges	Any malignancy	2
28941	BBQ3.00	[m]embryonal carcinoma nos	Any malignancy	2
29005	H530.00	abscess of lung	Chronic pulmonary disease	1
29008	BB5W111	[m]hurthle cell adenocarcinoma	Any malignancy	2
29013	1Z10.00	chronic kidney disease stage 1	Renal disease	2
29041	66AN.00	date diabetic treatment start	Diabetes (uncomplicated)	1
2906	G580.11	congestive cardiac failure	Congestive heart failure	1
29112	7A4B100	percutaneous transluminal angioplasty of popliteal artery	Peripheral vascular disease	1
29160	B313000	malignant neoplasm of connective and soft tissue of axilla	Any malignancy	2
29170	BB51000	[m]adenocarcinoma in situ in villous adenoma	Any malignancy	2
29178	B614.00	"hodgkin's disease, nodular sclerosis"	Any malignancy	2
29283	B2zy.00	malignant neoplasm of other site of respiratory tract	Any malignancy	2
29284	ZV10112	[v]personal history of malignant neoplasm of lung	Any malignancy	2
29310	G22z.11	renal hypertension	Renal disease	2
29317	J124.00	recurrent duodenal ulcer	Peptic ulcer disease	1
29325	H331000	intrinsic asthma without status asthmaticus	Chronic pulmonary disease	1
29335	BBr2700	[m]adult t-cell leukaemia/lymphoma	Any malignancy	2
29337	BBVA.00	[m] small cell osteosarcoma	Any malignancy	2
29372	G742100	embolism and thrombosis of the radial artery	Peripheral vascular disease	1
29384	K000.00	acute proliferative glomerulonephritis	Renal disease	2
29386	Eu00z00	"[x]dementia in alzheimer's disease, unspecified"	Dementia	1
2939	K100600	calculous pyelonephritis	Renal disease	2
29421	G344.00	silent myocardial ischaemia	Myocardial infarction	1
29462	B4Az.00	malignant neoplasm of kidney or urinary organs nos	Any malignancy	2
29512	F112.00	senile degeneration of brain	Dementia	1
29515	F36y000	supranuclear paralysis	Hemiplegia or paraplegia	2
29519	N000300	systemic lupus erythematosus with organ or sys involv	Rheumatic disease	1
29524	BB34.00	"[m]basal cell carcinoma, fibroepithelial type"	Any malignancy	2
29580	BBCA.00	[m]sertoli cell carcinoma	Any malignancy	2
29634	K013.00	nephrotic syndrome with minimal change glomerulonephritis	Renal disease	2
29638	K080.00	renal osteodystrophy	Renal disease	2
29643	G303.00	acute inferoposterior infarction	Myocardial infarction	1
29645	8793	asthma control step 0	Chronic pulmonary disease	1
29657	R014000	[d]transient monoplegia nos	Hemiplegia or paraplegia	2
29669	H06..00	acute bronchitis and bronchiolitis	Chronic pulmonary disease	1
29758	G30X.00	acute transmural myocardial infarction of unspecif site	Myocardial infarction	1
29771	J11z.00	gastric ulcer nos	Peptic ulcer disease	1
29787	BB2C.00	"[m]squamous cell carcinoma, keratinising type nos"	Any malignancy	2
29789	B935.11	histiocytic tumour nos	Any malignancy	2
29826	B342.00	malignant neoplasm of upper-inner quadrant of female breast	Any malignancy	2
2986	F420200	preproliferative diabetic retinopathy	Diabetes with end-organ damage	2
29876	B613z00	"hodgkin's, lymphocytic-histiocytic predominance nos"	Any malignancy	2
29898	B832.00	carcinoma in situ of other and unspecified parts of uterus	Any malignancy	2
29939	G600.00	ruptured berry aneurysm	Cerebrovascular disease	1
2994	7L1A100	peritoneal dialysis	Renal disease	2
29945	BBR4.00	"[m]malignant teratoma, trophoblastic"	Any malignancy	2
2996	7L1A200	haemodialysis nec	Renal disease	2
29966	C350300	idiopathic pulmonary haemosiderosis	Chronic pulmonary disease	1
29973	7A22000	percutaneous transluminal angioplasty of carotid artery	Peripheral vascular disease	1
29975	B804100	carcinoma in situ of rectum	Any malignancy	2
29979	C109900	non-insulin-dependent diabetes mellitus without complication	Diabetes (uncomplicated)	1
2999	K01..00	nephrotic syndrome	Renal disease	2
30032	E001200	presenile dementia with paranoia	Dementia	1
30045	G616.00	external capsule haemorrhage	Cerebrovascular disease	1
30054	J110100	acute gastric ulcer with haemorrhage	Peptic ulcer disease	1
30165	B18y200	malignant neoplasm of mesorectum	Any malignancy	2
3018	663V100	mild asthma	Chronic pulmonary disease	1
30189	BB91000	[m]intraductal papillary adenocarcinoma with invasion	Any malignancy	2
30202	G617.00	"intracerebral haemorrhage, intraventricular"	Cerebrovascular disease	1
30214	H54..00	pulmonary congestion and hypostasis	Chronic pulmonary disease	1
30235	H434.00	siderosis	Chronic pulmonary disease	1
30248	G720200	aneurysm of ulnar artery	Peripheral vascular disease	1
3028	BB31.00	[m]basal cell carcinoma nos	Any malignancy	2
30294	C10EL00	type 1 diabetes mellitus with persistent microalbuminuria	Diabetes with end-organ damage	2
30301	K03X.00	"unsp nephrit synd, diff mesang prolif glomerulonephritis"	Renal disease	2
30310	K081.00	nephrogenic diabetes insipidus	Renal disease	2
30322	ZV10500	[v]personal history of malignant neoplasm of urinary organ	Any malignancy	2
30323	C10EK00	type 1 diabetes mellitus with persistent proteinuria	Diabetes with end-organ damage	2
30382	9OJZ.00	asthma monitoring admin.nos	Chronic pulmonary disease	1
30402	B050.11	malignant neoplasm of buccal mucosa	Any malignancy	2
30415	7A23800	percutaneous coil embolisation of cerebral artery aneurysm	Peripheral vascular disease	1
30416	BB82111	[m]colloid adenocarcinoma	Any malignancy	2
30421	G30..13	cardiac rupture following myocardial infarction (mi)	Myocardial infarction	1
30458	66YR.00	asthma monitoring by doctor	Chronic pulmonary disease	1
30466	7A1A100	percutaneous transluminal angioplasty of aorta nec	Peripheral vascular disease	1
30477	F420700	high risk proliferative diabetic retinopathy	Diabetes with end-organ damage	2
30495	G742300	embolism and thrombosis of an arm artery nos	Peripheral vascular disease	1
30511	B54..00	malig neop of other endocrine glands and related structures	Any malignancy	2
30537	F373.00	polyneuropathy in malignant disease	Any malignancy	2
30543	B335200	malignant neoplasm of skin of breast	Any malignancy	2
30547	ZV67700	[v]follow-up exam after radiotherapy for malignant neoplasm	Any malignancy	2
30548	N040N00	rheumatoid vasculitis	Rheumatic disease	1
30569	H121500	pharyngitis sicca	Rheumatic disease	1
30576	B333300	malignant neoplasm of skin of forehead	Any malignancy	2
30577	B336200	malignant neoplasm of skin of fore-arm	Any malignancy	2
30586	A707200	chronic viral hepatitis c	Mild liver disease	1
3063	F241.00	paraplegia	Hemiplegia or paraplegia	2
30641	9hD0.00	excepted from dementia quality indicators: patient unsuitabl	Dementia	1
30645	B333000	"malignant neoplasm of skin of cheek, external"	Any malignancy	2
30646	B6y..00	malignant neoplasm lymphatic or haematopoietic tissue os	Any malignancy	2
30648	9N4p.00	did not attend diabetic retinopathy clinic	Diabetes (uncomplicated)	1
30655	G851.00	oesophageal varices without bleeding	Moderate or severe liver disease	3
30700	B10z.00	malignant neoplasm of oesophagus nos	Any malignancy	2
30706	Eu00200	"[x]dementia in alzheimer's dis, atypical or mixed type"	Dementia	1
30709	7L1C000	insertion of temporary peritoneal dialysis catheter	Renal disease	2
30735	6AA..00	chronic kidney disease annual review	Renal disease	2
30739	9Ot0.00	chronic kidney disease monitoring first letter	Renal disease	2
30747	B336.00	malignant neoplasm of skin of upper limb and shoulder	Any malignancy	2
30749	9hH0.00	excepted heart failure quality indicators: patient unsuitabl	Congestive heart failure	1
30756	7L1A500	continuous ambulatory peritoneal dialysis	Renal disease	2
30779	662W.00	heart failure annual review	Congestive heart failure	1
30815	663N000	asthma causing night waking	Chronic pulmonary disease	1
30966	B800600	carcinoma in situ of palate	Any malignancy	2
30988	BB1M.00	"[m]small cell carcinoma, intermediate cell"	Any malignancy	2
31004	BB2G.00	[m]adenoid squamous cell carcinoma	Any malignancy	2
3101	J11..12	pyloric ulcer	Peptic ulcer disease	1
31016	Eu01300	[x]mixed cortical and subcortical vascular dementia	Dementia	1
31026	BBF3.00	[m]spindle cell sarcoma	Any malignancy	2
31053	R054300	[d]widespread diabetic foot gangrene	Diabetes with end-organ damage	2
31054	N040S00	rheumatoid arthritis - multiple joint	Rheumatic disease	1
31055	G723500	ruptured popliteal artery aneurysm	Peripheral vascular disease	1
31060	G61X.00	"intracerebral haemorrhage in hemisphere, unspecified"	Cerebrovascular disease	1
31090	BBGP.00	[m]pigmented dermatofibrosarcoma protuberans	Any malignancy	2
31102	B49z.00	malignant neoplasm of urinary bladder nos	Any malignancy	2
31135	9OJ8.00	asthma monitor phone invite	Chronic pulmonary disease	1
31141	9OL8.00	diabetes monitor.phone invite	Diabetes (uncomplicated)	1
31156	2G5J.00	o/e - left diabetic foot at moderate risk	Diabetes (uncomplicated)	1
31157	2G5F.00	o/e - right diabetic foot at moderate risk	Diabetes (uncomplicated)	1
31167	66YP.00	asthma night-time symptoms	Chronic pulmonary disease	1
31171	2G5G.00	o/e - right diabetic foot at high risk	Diabetes (uncomplicated)	1
31172	2G5K.00	o/e - left diabetic foot at high risk	Diabetes (uncomplicated)	1
31181	N045100	juvenile seronegative polyarthritis	Rheumatic disease	1
31188	B224.00	"malignant neoplasm of lower lobe, bronchus or lung"	Any malignancy	2
31209	F396400	myopathy due to rheumatoid arthritis	Rheumatic disease	1
31210	B150100	hepatoblastoma of liver	Any malignancy	2
31218	9Om..00	stroke/transient ischaemic attack monitoring administration	Cerebrovascular disease	1
31225	663t.00	asthma causes daytime symptoms 1 to 2 times per month	Chronic pulmonary disease	1
31240	9OL7.00	diabetes monitor.verbal invite	Diabetes (uncomplicated)	1
31241	9OLZ.00	diabetes monitoring admin.nos	Diabetes (uncomplicated)	1
31268	B223.00	"malignant neoplasm of middle lobe, bronchus or lung"	Any malignancy	2
31310	C108900	insulin dependent diabetes maturity onset	Diabetes (uncomplicated)	1
31319	H583000	loeffler's syndrome	Chronic pulmonary disease	1
31323	BBG1.00	[m]fibrosarcoma nos	Any malignancy	2
31329	F393.00	familial periodic paralysis	Hemiplegia or paraplegia	2
3135	B823400	carcinoma in situ of skin of nose	Any malignancy	2
31360	N045500	juvenile rheumatoid arthritis	Rheumatic disease	1
31364	B050.00	malignant neoplasm of cheek mucosa	Any malignancy	2
31369	K042.00	acute renal medullary necrosis	Renal disease	2
31393	B160.11	carcinoma gallbladder	Any malignancy	2
31399	B555.00	malignant neoplasm of lower limb nos	Any malignancy	2
31421	BBK3100	[m]rhabdomyosarcoma nos	Any malignancy	2
31423	H45..00	pneumoconiosis nos	Chronic pulmonary disease	1
31447	H352100	pigeon-fanciers' lung	Chronic pulmonary disease	1
31451	P7y0.00	cerebrovascular system anomalies	Cerebrovascular disease	1
31460	G74y700	embolism and thrombosis of the axillary artery	Peripheral vascular disease	1
3149	G64z.00	cerebral infarction nos	Cerebrovascular disease	1
31492	BBm9.00	[m] monocytoid b-cell lymphoma	Any malignancy	2
31511	B823500	carcinoma in situ of skin of temple	Any malignancy	2
3152	BB13.00	"[m]carcinoma, metastatic, nos"	Metastatic solid tumour	4
31524	F11yz00	other cerebral degeneration nos	Dementia	1
31537	BBj1100	"[m]hodgkin,s disease, lymphocytic predominance, nodular"	Any malignancy	2
31546	B341.00	malignant neoplasm of central part of female breast	Any malignancy	2
31549	7L1A.00	compensation for renal failure	Renal disease	2
31551	F37X.00	"inflammatory polyneuropathy, unspecified"	Rheumatic disease	1
31561	ZV67600	[v]follow-up examination aft surgery for malignant neoplasm	Any malignancy	2
31564	H57y400	lung disease with systemic lupus erythematosus	Rheumatic disease	1
31573	B23..00	malignant neoplasm of pleura	Any malignancy	2
31574	BBb0.00	"[m]glioma, malignant"	Any malignancy	2
31576	B627B00	other types of follicular non-hodgkin's lymphoma	Any malignancy	2
31581	K0A0.00	acute nephritic syndrome	Renal disease	2
31595	G610.00	cortical haemorrhage	Cerebrovascular disease	1
31608	B43y.00	malignant neoplasm of other site of uterine body	Any malignancy	2
31609	BBC4.00	"[m]granulosa cell tumour, malignant"	Any malignancy	2
31613	7A13.00	emergency replacement of aneurysmal segment of aorta	Peripheral vascular disease	1
3163	H300.00	tracheobronchitis nos	Chronic pulmonary disease	1
31673	BBX1.12	"[m]osteoclastoma, malignant"	Any malignancy	2
31700	B222000	malignant neoplasm of upper lobe bronchus	Any malignancy	2
31704	G677.00	occlusion/stenosis cerebral arts not result cerebral infarct	Cerebrovascular disease	1
31722	H46..00	respiratory disease due to chemical fumes and vapours	Chronic pulmonary disease	1
31723	7A28000	percutaneous transluminal angioplasty of subclavian artery	Peripheral vascular disease	1
31724	N04y000	rheumatoid lung	Chronic pulmonary disease	1
31726	BBgM.00	"[m]malignant lymphoma, small cleaved cell, diffuse"	Any malignancy	2
31741	BBj6200	"[m]hodgkin,s disease, nodular sclerosis, lymphocytic deplet"	Any malignancy	2
31749	BBv0.00	[m]monocytoid b-cell lymphoma	Any malignancy	2
31772	BBGM.00	[m]dermatofibrosarcoma nos	Any malignancy	2
31790	F372.00	polyneuropathy in diabetes	Diabetes with end-organ damage	2
31794	B627W00	unspecified b-cell non-hodgkin's lymphoma	Any malignancy	2
318	B210.00	malignant neoplasm of glottis	Any malignancy	2
31805	G62..00	other and unspecified intracranial haemorrhage	Cerebrovascular disease	1
31806	H56..00	other alveolar and parietoalveolar disease	Chronic pulmonary disease	1
31818	BBK2.00	[m]myoma and myosarcoma	Any malignancy	2
31822	7A15.00	other emergency bypass of segment of aorta	Peripheral vascular disease	1
31860	B810600	carcinoma in situ of aryepiglottic fold	Any malignancy	2
31876	G72y000	aneurysm of common carotid art	Peripheral vascular disease	1
31892	F11..00	other cerebral degenerations	Dementia	1
31893	B803600	carcinoma in situ of ascending colon	Any malignancy	2
319	B21..00	malignant neoplasm of larynx	Any malignancy	2
3197	BB03.00	"[m]neoplasm, metastatic"	Metastatic solid tumour	4
32001	N04y200	adult-onset still's disease	Rheumatic disease	1
32022	B110.00	malignant neoplasm of cardia of stomach	Any malignancy	2
32024	B030.00	malignant neoplasm of upper gum	Any malignancy	2
32057	F110100	alzheimer's disease with late onset	Dementia	1
3213	B430.00	"malignant neoplasm of corpus uteri, excluding isthmus"	Any malignancy	2
3216	J611.00	acute alcoholic hepatitis	Mild liver disease	1
32174	B202.00	malignant neoplasm of maxillary sinus	Any malignancy	2
32193	C11y000	steroid induced diabetes	Diabetes (uncomplicated)	1
32213	BB0A.00	"[m]malignant tumour, fusiform cell type"	Any malignancy	2
32235	G74y.00	embolism and thrombosis of other specified artery	Peripheral vascular disease	1
32240	4M22.00	lymphoma stage iii	Any malignancy	2
32246	ZV10111	[v]personal history of malignant neoplasm of bronchus	Any malignancy	2
32249	B822.11	carcinoma in situ of ear	Any malignancy	2
32272	G38..00	postoperative myocardial infarction	Myocardial infarction	1
32277	A707X00	"chronic viral hepatitis, unspecified"	Mild liver disease	1
32294	BB5B500	"[m]glucagonoma, malignant"	Any malignancy	2
3230	B41..11	cervical carcinoma (uterus)	Any malignancy	2
32351	44a4.00	squamous cell carcinoma antigen level	Any malignancy	2
32359	ZRbH.00	perceived control of insulin-dependent diabetes	Diabetes (uncomplicated)	1
32362	B113.00	malignant neoplasm of fundus of stomach	Any malignancy	2
32372	B302100	malignant neoplasm of thoracic vertebra	Any malignancy	2
32403	C107.11	diabetes mellitus with gangrene	Diabetes with end-organ damage	2
32423	G222.00	hypertensive renal disease with renal failure	Renal disease	2
3243	H31..00	chronic bronchitis	Chronic pulmonary disease	1
32447	G630.00	basilar artery occlusion	Cerebrovascular disease	1
32472	BB9H.00	[m]inflammatory carcinoma	Any malignancy	2
32492	7A41900	bypass common iliac artery by aorta/com iliac art anast nec	Peripheral vascular disease	1
32556	C107.12	diabetes with gangrene	Diabetes with end-organ damage	2
32619	66Af.00	patient diabetes education review	Diabetes (uncomplicated)	1
32627	C10FN00	type 2 diabetes mellitus with ketoacidosis	Diabetes (uncomplicated)	1
