medcode	readcode	readterm	condition
19201	G61X100	"right sided intracerebral haemorrhage, unspecified"	Other neurological disorders
19226	B513.00	malignant neoplasm of parietal lobe	Solid tumour or leukaemia
19232	24G..00	aortic valve gradient	Valvular disease
19246	7917000	closed mitral valvotomy	Valvular disease
19260	G662.00	posterior cerebral artery syndrome	Other neurological disorders
19263	BB5f.00	[m]thyroid adenoma and adenocarcinoma	Solid tumour or leukaemia
1928	N002.11	keratoconjunctivitis sicca	Rheumatoid arthritis and collagen diseases
19316	K016.00	"nephrotic syndrome, diffuse membranous glomerulonephritis"	Renal disease
19318	B112.00	malignant neoplasm of pyloric antrum of stomach	Solid tumour or leukaemia
19321	B311300	malignant neoplasm of connective and soft tissue of hand	Solid tumour or leukaemia
19334	BBL9.00	[m]carcinosarcoma nos	Solid tumour or leukaemia
1934	H301.00	laryngotracheobronchitis	Chronic pulmonary disease
19345	212T.00	"psychosis, schizophrenia + bipolar affective disord resolved"	Psychoses
19348	ZV12511	[v]personal history of stroke	Other neurological disorders
19354	G65y.00	other transient cerebral ischaemia	Other neurological disorders
19363	F25A.00	juvenile myoclonic epilepsy	Other neurological disorders
19367	9Oj3.00	hypothyroidism monitoring verbal invite	Hypothyroidism
19380	9Or0.00	heart failure review completed	Congestive heart failure
19381	8HTk.00	referral to diabetic eye clinic	Diabetes (uncomplicated)
19383	D0...12	sideropenic anaemia	Deficiency anaemia
19389	B3y..00	"malig neop of bone, connective tissue, skin and breast os"	Solid tumour or leukaemia
19390	7910200	prosthetic replacement of mitral valve	Valvular disease
19393	Eu01z00	"[x]vascular dementia, unspecified"	Other neurological disorders
19412	G602.00	subarachnoid haemorrhage from middle cerebral artery	Other neurological disorders
19415	B0...00	"malignant neoplasm of lip, oral cavity and pharynx"	Solid tumour or leukaemia
19418	A705400	hepatitis non a non b	Liver disease
19423	B35..00	malignant neoplasm of male breast	Solid tumour or leukaemia
19428	1I70.00	chronic obstructive pulmonary disease excluded by spirometry	Chronic pulmonary disease
19437	B30z000	osteosarcoma	Solid tumour or leukaemia
19439	212S.00	depression resolved	Depression
19444	Byu4100	"[x]malignant melanoma of skin, unspecified"	Solid tumour or leukaemia
19454	F374A00	polyneuropathy in uraemia	Renal disease
19473	66i..00	chronic kidney disease monitoring	Renal disease
19475	B471.00	malignant neoplasm of descended testis	Solid tumour or leukaemia
19477	E004.00	arteriosclerotic dementia	Other neurological disorders
19478	F121.11	drug induced parkinsonism	Other neurological disorders
19492	H40..00	coal workers' pneumoconiosis	Chronic pulmonary disease
19494	136S.00	hazardous alcohol use	Alcohol abuse
1950	BB4..00	[m]transitional cell papillomas and carcinomas	Solid tumour or leukaemia
19512	C310400	glycogenosis with hepatic cirrhosis	Liver disease
19519	663p.00	asthma treatment compliance unsatisfactory	Chronic pulmonary disease
1952	B580.00	secondary malignant neoplasm of kidney	Metastatic cancer
19520	663n.00	asthma treatment compliance satisfactory	Chronic pulmonary disease
19539	9OJA.00	asthma monitoring check done	Chronic pulmonary disease
19549	667S.00	1 to 7 seizures a week	Other neurological disorders
19550	667C.00	epilepsy control good	Other neurological disorders
19551	667E.00	epilepsy care arrangement	Other neurological disorders
19577	Q417100	cerebellar (nontraum) and post fossa haemorhage fet newborn	Other neurological disorders
19657	B911000	malignant hydatidiform mole	Solid tumour or leukaemia
19665	B824000	carcinoma in situ of scalp	Solid tumour or leukaemia
19678	BB29.13	[m]intraepithelial squamous cell carcinoma	Solid tumour or leukaemia
19686	B828.00	melanoma in situ of skin	Solid tumour or leukaemia
19696	Eu33.12	[x]recurrent episodes of psychogenic depression	Depression
19699	G544100	disorders of both mitral and tricuspid valves	Valvular disease
19707	328..00	ecg: ventricular arrhythmia	Cardiac arrythmia
19721	8CE6.00	chronic obstructive pulmonary disease leaflet given	Chronic pulmonary disease
19731	BB5N.11	[m]adenoma or or adenocarcinoma in polyposis coli	Solid tumour or leukaemia
19739	68A9.00	diabetic retinopathy screening offered	Diabetes (uncomplicated)
1986	B440.11	cancer of ovary	Solid tumour or leukaemia
19928	J13z.00	peptic ulcer nos	Peptic ulcer disease
19945	B582.00	secondary malignant neoplasm of skin	Metastatic cancer
19951	D00z000	achlorhydric anaemia	Deficiency anaemia
19957	G543z00	pulmonary valve disorders nos	Valvular disease
1996	1B17.00	depressed	Depression
19967	E111000	"recurrent manic episodes, unspecified"	Psychoses
19979	G576100	supraventricular ectopic beats	Cardiac arrythmia
19996	7A14400	replace aneurysm abdominal aorta by anast aorta to aorta nec	Peripheral vascular disease
20007	N000000	disseminated lupus erythematosus	Rheumatoid arthritis and collagen diseases
20026	E021100	drug-induced hallucinosis	Drug abuse
20027	K00y000	acute glomerulonephritis in diseases ec	Renal disease
20073	7L1A000	renal dialysis	Renal disease
20092	B04..00	malignant neoplasm of floor of mouth	Solid tumour or leukaemia
20110	E110000	"single manic episode, unspecified"	Psychoses
20122	F221.00	spastic hemiplegia	Paralysis
20123	D00y.12	plummer - vinson syndrome	Deficiency anaemia
20127	H531.00	abscess of mediastinum	Chronic pulmonary disease
20129	K00z.00	acute glomerulonephritis nos	Renal disease
20137	A70z.00	unspecified viral hepatitis	Liver disease
20159	B56y.00	secondary and unspec malig neop lymph nodes multiple sites	Metastatic cancer
20160	B50..00	malignant neoplasm of eye	Solid tumour or leukaemia
20165	L363.00	postpartum coagulation defects	Coagulopathy
20166	B45z.00	malignant neoplasm of female genital organ nos	Solid tumour or leukaemia
20174	D303600	deficiency of factor xiii or fibrin stabilizing factor	Coagulopathy
20181	D314.00	secondary thrombocytopenia	Coagulopathy
2019	F234.00	infantile hemiplegia nos	Paralysis
20196	14V2.00	h/o: renal dialysis	Renal disease
20198	H060z00	acute bronchitis nos	Chronic pulmonary disease
20206	F144z00	cerebellar ataxia in disease nos	Other neurological disorders
20221	7917z00	closed incision of valve of heart nos	Valvular disease
20228	E13..11	reactive psychoses	Psychoses
20233	7609z00	open operation on oesophageal varices nos	Liver disease
20246	G02..11	sydenham's chorea	Other neurological disorders
20266	D301.00	haemophilia-b (factor ix deficiency)	Coagulopathy
20269	H583z00	pulmonary eosinophilia nos	Chronic pulmonary disease
20271	N00y.00	other specified diffuse collagen diseases	Rheumatoid arthritis and collagen diseases
20284	G62z.00	intracranial haemorrhage nos	Other neurological disorders
20292	B02..00	malignant neoplasm of major salivary glands	Solid tumour or leukaemia
20310	C04z.11	pretibial myxoedema - hypothyroid	Hypothyroidism
20324	R2y1000	[d]cardiorespiratory failure	Congestive heart failure
20364	H340.00	recurrent bronchiectasis	Chronic pulmonary disease
20366	C36..11	electrolyte disorders	Fluid and electrolyte disorders
204	G2...00	hypertensive disease	Hypertension (uncomplicated)
20437	BBk..00	"[m]lymphomas, nodular or follicular"	Lymphoma
20493	F20z.00	multiple sclerosis nos	Other neurological disorders
20514	Eu10300	[x]mental and behav dis due to use alcohol: withdrawal state	Alcohol abuse
20516	K13yz11	salt-losing nephritis	Renal disease
20564	BB11.00	[m]carcinoma in situ nos	Solid tumour or leukaemia
20566	667A.00	epilepsy treatment stopped	Other neurological disorders
20572	Eu20211	[x]catatonic stupor	Psychoses
20615	N04..11	inflammatory polyarthropathy	Rheumatoid arthritis and collagen diseases
2062	G58..00	heart failure	Congestive heart failure
2065	G742400	embolism and thrombosis of the femoral artery	Peripheral vascular disease
20650	U200z00	[x]intent self poison nonopioid analgesic unspecif place	Drug abuse
2066	7A48z00	other bypass of femoral artery or popliteal artery nos	Peripheral vascular disease
20677	761J000	closure of perforated gastric ulcer	Peptic ulcer disease
20685	B346.00	malignant neoplasm of axillary tail of female breast	Solid tumour or leukaemia
2069	F23..00	congenital cerebral palsy	Paralysis
20696	66AA.11	injection sites - diabetic	Diabetes (uncomplicated)
20710	BBj..00	[m]hodgkin's disease	Lymphoma
2073	F343000	acute radial nerve palsy	Paralysis
20762	E011.00	alcohol amnestic syndrome	Alcohol abuse
20785	Eu20400	[x]post-schizophrenic depression	Depression
20807	BB26.00	[m]papillary squamous cell carcinoma	Solid tumour or leukaemia
2081	E23..11	alcoholism	Alcohol abuse
2082	E01y000	alcohol withdrawal syndrome	Alcohol abuse
20822	Q48y100	congenital cardiac failure	Congestive heart failure
2083	8BA8.00	alcohol detoxification	Alcohol abuse
2084	E23..00	alcohol dependence syndrome	Alcohol abuse
20860	8798	asthma control step 5	Chronic pulmonary disease
2088	K00..00	acute glomerulonephritis	Renal disease
20886	8797	asthma control step 4	Chronic pulmonary disease
20900	9OLA.11	diabetes monitored	Diabetes (uncomplicated)
20912	7609400	open injection sclerotherapy to oesophageal varices	Liver disease
20940	791A200	repair of subaortic stenosis	Valvular disease
20962	E240200	episodic opioid dependence	Drug abuse
20982	BBE2.00	[m]nodular melanoma	Solid tumour or leukaemia
21022	F396700	myopathy due to sjogren's disease	Rheumatoid arthritis and collagen diseases
21061	H3y0.00	chronic obstruct pulmonary dis with acute lower resp infectn	Chronic pulmonary disease
21065	Eu30200	[x]mania with psychotic symptoms	Psychoses
21087	E24A.00	ecstasy type drug dependence	Drug abuse
21096	ZV11400	[v]personal history of psychoactive substance abuse	Drug abuse
21118	G651000	vertebro-basilar artery syndrome	Other neurological disorders
21127	D001.00	iron deficiency anaemia due to dietary causes	Deficiency anaemia
2113	Eu22011	[x]paranoid psychosis	Psychoses
2114	E03y300	unspecified puerperal psychosis	Psychoses
21151	N00z.00	collagen disease nos	Rheumatoid arthritis and collagen diseases
21158	K100200	chronic pyelitis	Renal disease
2117	E107.00	schizo-affective schizophrenia	Psychoses
21185	H53..00	abscess of lung and mediastinum	Chronic pulmonary disease
21197	Eu43212	[x]grief reaction	Depression
21216	F14..00	spinocerebellar disease	Other neurological disorders
21217	BB1N.00	[m]small cell-large cell carcinoma	Solid tumour or leukaemia
21232	H33zz12	allergic asthma nec	Chronic pulmonary disease
21249	F232.00	congenital quadriplegia	Paralysis
21257	H4...12	occupational lung disease	Chronic pulmonary disease
21272	P610.00	congenital tricuspid atresia	Valvular disease
21297	K0A3.00	chronic nephritic syndrome	Renal disease
21327	B333500	malignant neoplasm of skin of temple	Solid tumour or leukaemia
21329	B630200	plasmacytoma nos	Lymphoma
21330	B180.00	malignant neoplasm of retroperitoneum	Solid tumour or leukaemia
21358	N040200	rheumatoid arthritis of shoulder	Rheumatoid arthritis and collagen diseases
21402	B602.00	burkitt's lymphoma	Lymphoma
21423	K032600	berger's iga or igg nephropathy	Renal disease
21447	BBV3.00	[m]fibroblastic osteosarcoma	Solid tumour or leukaemia
21455	Eu23012	[x]cycloid psychosis	Psychoses
21463	BBgC.11	[m]lymphocytic lymphoma nos	Lymphoma
21472	Q441.00	neonatal diabetes mellitus	Diabetes (uncomplicated)
21482	C102.00	diabetes mellitus with hyperosmolar coma	Diabetes (uncomplicated)
21533	N043200	pauciarticular juvenile rheumatoid arthritis	Rheumatoid arthritis and collagen diseases
21548	F23y000	ataxic infantile cerebral palsy	Paralysis
21549	B627C00	follicular non-hodgkin's lymphoma	Lymphoma
2156	G631.11	"stenosis, carotid artery"	Other neurological disorders
21590	B58y500	secondary malignant neoplasm of prostate	Metastatic cancer
21595	Eu23100	[x]acute polymorphic psychot disord with symp of schizophren	Psychoses
21604	D313011	idiopathic purpura	Coagulopathy
21609	BB18.00	"[m]carcinoma, undifferentiated type, nos"	Solid tumour or leukaemia
21620	B111.00	malignant neoplasm of pylorus of stomach	Solid tumour or leukaemia
21624	E230200	episodic acute alcoholic intoxication in alcoholism	Alcohol abuse
21650	8H35.00	admitted to alcohol detoxification centre	Alcohol abuse
21652	BB42.00	[m]transitional cell carcinoma in situ	Solid tumour or leukaemia
21659	BB5Bz00	[m]pancreatic adenoma or carcinoma nos	Solid tumour or leukaemia
21662	Eu12211	[x]drug addiction - cannabis	Drug abuse
21682	BBQ7500	"[m]malignant teratoma, intermediate type"	Solid tumour or leukaemia
21689	13AB.00	diabetic lipid lowering diet	Diabetes (uncomplicated)
21697	G756100	thrombotic thrombocytopenic purpura	Coagulopathy
21698	B221z00	malignant neoplasm of main bronchus nos	Solid tumour or leukaemia
21713	J612000	alcoholic fibrosis and sclerosis of liver	Alcohol abuse
21732	BBH1.00	[m]myxosarcoma	Solid tumour or leukaemia
21741	BB5f100	[m]follicular adenocarcinoma nos	Solid tumour or leukaemia
21744	9OK..11	obesity clinic administration	Obesity
21769	J625.11	[x] liver failure	Liver disease
21792	B808600	carcinoma in situ of ampulla of vater	Solid tumour or leukaemia
21807	G111.11	mitral incompetence - rheumatic	Valvular disease
21826	662F.00	hypertension treatm. started	Hypertension (uncomplicated)
21833	BB91.11	[m]duct carcinoma nos	Solid tumour or leukaemia
21837	G232.00	hypertensive heart&renal dis wth (congestive) heart failure	Hypertension with end-organ damage
2184	N100.00	ankylosing spondylitis	Rheumatoid arthritis and collagen diseases
21847	BB5f111	[m]follicular carcinoma	Solid tumour or leukaemia
21861	BB9E.00	[m]lobular carcinoma in situ	Solid tumour or leukaemia
21868	BB02.00	"[m]neoplasm, malignant"	Solid tumour or leukaemia
21879	Eu10100	[x]mental and behav dis due to use of alcohol: harmful use	Alcohol abuse
21885	F258.00	post-ictal state	Other neurological disorders
21887	E002100	senile dementia with depression	Other neurological disorders
21889	F15..00	anterior horn cell disease	Other neurological disorders
21914	BB11.11	[m]intraepithelial carcinoma nos	Solid tumour or leukaemia
21926	D301.11	christmas disease	Coagulopathy
21927	7A41.00	other bypass of iliac artery	Peripheral vascular disease
21935	R003300	[d]reflex anoxic seizure	Other neurological disorders
21947	K017.00	nephrotic syn difus mesangial prolifertiv glomerulonephritis	Renal disease
2195	H34..00	bronchiectasis	Chronic pulmonary disease
21973	H4...00	lung disease due to external agents	Chronic pulmonary disease
21980	G140111	tricuspid regurgitation - rheumatic	Valvular disease
21983	C108012	type 1 diabetes mellitus with renal complications	Diabetes with end-organ damage
21985	Eu0z.11	[x]organic psychosis nos	Psychoses
21986	Eu05200	[x]organic delusional [schizophrenia-like] disorder	Psychoses
21989	K019.00	"nephrotic syn,diffuse mesangiocapillary glomerulonephritis"	Renal disease
22003	G54z013	regurgitation of unspecified heart valve	Valvular disease
22023	66AJz00	diabetic - poor control nos	Diabetes (uncomplicated)
22080	ZV11112	[v]personal history of manic-depressive psychosis	Psychoses
22103	E02y400	drug-induced personality disorder	Drug abuse
22104	ZV11000	[v]personal history of schizophrenia	Psychoses
22116	Eu33400	"[x]recurrent depressive disorder, currently in remission"	Depression
2212	G573.00	atrial fibrillation and flutter	Cardiac arrythmia
22130	9OL3.00	diabetes monitoring default	Diabetes (uncomplicated)
22135	2833	o/e - hemiplegia	Paralysis
22146	B581100	secondary malignant neoplasm of bladder	Metastatic cancer
22156	BB08.00	"[m]malignant tumour, small cell type"	Solid tumour or leukaemia
22158	B630000	"malignant plasma cell neoplasm, extramedullary plasmacytoma"	Lymphoma
22163	B134.11	carcinoma of caecum	Solid tumour or leukaemia
22168	J601100	subacute hepatitis - noninfective	Liver disease
22187	B150300	hepatocellular carcinoma	Solid tumour or leukaemia
22188	E1z..00	non-organic psychosis nos	Psychoses
22205	K01x411	lupus nephritis	Renal disease
22252	ZV45100	[v]renal dialysis status	Renal disease
22262	G1yz100	rheumatic left ventricular failure	Congestive heart failure
22267	BB04.00	"[m]neoplasm, malig, uncertain whether primary or metastatic"	Metastatic cancer
22290	B313.00	malignant neoplasm of connective and soft tissue of thorax	Solid tumour or leukaemia
22333	8I3N.00	hypertension treatment refused	Hypertension (uncomplicated)
22341	1O30.00	epilepsy confirmed	Other neurological disorders
22392	B807.00	carcinoma in situ of other and unspecified small intestine	Solid tumour or leukaemia
22411	J622.11	encephalopathy - hepatic	Other neurological disorders
22412	G4...11	heart disease - pulmonary	Pulmonary circulation disorders
22441	B212.00	malignant neoplasm of subglottis	Solid tumour or leukaemia
22463	D313.00	primary thrombocytopenia	Coagulopathy
22487	C10N.00	secondary diabetes mellitus	Diabetes (uncomplicated)
22509	N00..11	collagen diseases	Rheumatoid arthritis and collagen diseases
22524	B58yz00	secondary malignant neoplasm of other specified site nos	Metastatic cancer
22536	H4y1000	chronic pulmonary fibrosis following radiation	Chronic pulmonary disease
22556	22K7.00	body mass index 40+ - severely obese	Obesity
22561	BBV4.00	[m]telangiectatic osteosarcoma	Solid tumour or leukaemia
22564	6657	on lithium	Psychoses
22573	C106z00	diabetes mellitus nos with neurological manifestation	Diabetes with end-organ damage
22582	7910400	mitral valvuloplasty nec	Valvular disease
22643	1BH3.00	paranoid ideation	Psychoses
22644	286..11	poor insight into psychotic condition	Psychoses
22650	BBT1.11	[m]angiosarcoma	Solid tumour or leukaemia
22677	G70y011	carotid artery disease	Other neurological disorders
22684	Eu55.15	[x]laxative habit	Drug abuse
22692	BBEG000	"[m]acral lentiginous melanoma, malignant"	Solid tumour or leukaemia
22695	C380400	central obesity	Obesity
22699	B803700	carcinoma in situ of splenic flexure of colon	Solid tumour or leukaemia
22706	D302.00	haemophilia-c (factor xi deficiency)	Coagulopathy
22713	1S42.00	manic mood	Psychoses
22715	D013000	combined b12 and folate deficiency anaemia	Deficiency anaemia
2272	BB5..11	[m]adenocarcinomas	Solid tumour or leukaemia
22752	173c.00	occupational asthma	Chronic pulmonary disease
22766	J635000	toxic liver disease with cholestasis	Liver disease
22773	C354500	familial benign hypercalcaemia	Fluid and electrolyte disorders
22778	P602.00	congenital pulmonary stenosis	Valvular disease
22781	G421.00	aneurysm of pulmonary artery	Peripheral vascular disease
22804	F251011	tonic-clonic epilepsy	Other neurological disorders
22806	Eu32212	[x]single episode major depression w'out psychotic symptoms	Depression
22823	66Ab.00	diabetic foot examination	Diabetes (uncomplicated)
22835	H564.00	bronchiolitis obliterans organising pneumonia	Chronic pulmonary disease
22837	G111.12	mitral regurgitation - rheumatic	Valvular disease
22841	J615z11	macronodular cirrhosis of liver	Liver disease
22852	K015.00	"nephrotic syndrome, focal and segmental glomerular lesions"	Renal disease
22866	N12C300	lumbar disc prolapse with cauda equina compression	Paralysis
22871	C10EP00	type 1 diabetes mellitus with exudative maculopathy	Diabetes with end-organ damage
22874	14AD.00	h/o ventricular fibrillation	Cardiac arrythmia
22880	7A35100	percutaneous transluminal angioplasty sup mesenteric art nec	Peripheral vascular disease
22884	C10F.11	type ii diabetes mellitus	Diabetes (uncomplicated)
22893	B06..00	malignant neoplasm of oropharynx	Solid tumour or leukaemia
22894	B110100	malignant neoplasm of cardio-oesophageal junction of stomach	Solid tumour or leukaemia
22897	D310100	henoch-schonlein nephritis	Renal disease
2290	H330.11	allergic asthma	Chronic pulmonary disease
22905	H581.00	interstitial emphysema	Chronic pulmonary disease
22907	F242.00	diplegia of upper limbs	Paralysis
22915	H583.00	pulmonary eosinophilia	Chronic pulmonary disease
22918	J122.00	duodenal ulcer disease	Peptic ulcer disease
22967	2BBF.00	retinal abnormality - diabetes related	Diabetes with end-organ damage
2298	F203.00	exacerbation of multiple sclerosis	Other neurological disorders
22991	667N.00	epilepsy severity	Other neurological disorders
23007	24D5.00	o/e - aortic systolic murmur	Valvular disease
23014	C04z.12	thyroid insufficiency	Hypothyroidism
23082	J14..00	gastrojejunal ulcer (gju)	Peptic ulcer disease
23085	BBEP.00	[m]epithelioid cell melanoma	Solid tumour or leukaemia
23087	J121211	perforated chronic duodenal ulcer	Peptic ulcer disease
23129	42Qr.00	prothrombin consumption	Coagulopathy
23132	42QB.00	factor viii assay	Coagulopathy
232	H33z100	asthma attack	Chronic pulmonary disease
233	H33z011	severe asthma attack	Chronic pulmonary disease
23333	H540000	hypostatic pneumonia	Chronic pulmonary disease
23352	7A10100	bypass aorta by anastomosis axillary to femoral artery nec	Peripheral vascular disease
2336	F143.00	cerebellar ataxia nos	Other neurological disorders
23361	G68..00	late effects of cerebrovascular disease	Other neurological disorders
23366	R012200	[d]spastic gait	Paralysis
23380	B340000	malignant neoplasm of nipple of female breast	Solid tumour or leukaemia
23389	B200.00	malignant neoplasm of nasal cavities	Solid tumour or leukaemia
23399	B344.00	malignant neoplasm of upper-outer quadrant of female breast	Solid tumour or leukaemia
2340	F381311	diabetic amyotrophy	Diabetes with end-organ damage
23415	F256100	salaam attacks	Other neurological disorders
2342	F372.12	diabetic neuropathy	Diabetes with end-organ damage
2343	G541300	"aortic stenosis alone, cause unspecified"	Valvular disease
23433	B161.00	malignant neoplasm of extrahepatic bile ducts	Solid tumour or leukaemia
23436	E241.12	barbiturate dependence	Drug abuse
23437	G573z00	atrial fibrillation and flutter nos	Cardiac arrythmia
23446	H42z.00	silica pneumoconiosis nos	Chronic pulmonary disease
23461	H43z.00	pneumoconiosis due to inorganic dust nos	Chronic pulmonary disease
23479	C350011	bronzed diabetes	Diabetes (uncomplicated)
23480	B335900	malignant neoplasm of perianal skin	Solid tumour or leukaemia
23481	G581.11	asthma - cardiac	Congestive heart failure
23492	H320z00	chronic bullous emphysema nos	Chronic pulmonary disease
23494	G57y500	wandering atrial pacemaker	Cardiac arrythmia
23497	G731000	buerger's disease	Peripheral vascular disease
23500	C2z..00	nutritional deficiency nos	Weight loss
23511	J622.00	hepatic coma	Liver disease
23532	G712.00	thoracic aortic aneurysm without mention of rupture	Peripheral vascular disease
23538	E13y100	brief reactive psychosis	Psychoses
23552	N041.00	felty's syndrome	Rheumatoid arthritis and collagen diseases
23566	Q490.00	neonatal cardiac failure	Congestive heart failure
23578	J614000	chronic persistent hepatitis	Liver disease
23580	G60z.00	subarachnoid haemorrhage nos	Other neurological disorders
2360	N002.00	sicca (sjogren's) syndrome	Rheumatoid arthritis and collagen diseases
23610	E250100	"nondependent alcohol abuse, continuous"	Alcohol abuse
23616	E100100	subchronic schizophrenia	Psychoses
23632	F244.00	monoplegia of upper limb	Paralysis
23634	F254100	psychomotor epilepsy	Other neurological disorders
23647	G570100	paroxysmal atrioventricular tachycardia	Cardiac arrythmia
23657	F4A3200	keratoconjunctivitis sicca (excluding sjogren's syndrome)	Rheumatoid arthritis and collagen diseases
23671	G63y000	cerebral infarct due to thrombosis of precerebral arteries	Other neurological disorders
23677	E04y.00	other specified chronic organic psychoses	Psychoses
23688	761J.00	operations on gastric ulcer	Peptic ulcer disease
23707	G580000	acute congestive heart failure	Congestive heart failure
23711	BBg1000	"[m]malignant lymphoma, diffuse nos"	Lymphoma
23713	Eu31400	"[x]bipol aff disord, curr epis sev depress, no psychot symp"	Psychoses
23730	F202.00	generalised multiple sclerosis	Other neurological disorders
23731	Eu33311	[x]endogenous depression with psychotic symptoms	Psychoses
2375	H50..00	empyema	Chronic pulmonary disease
23763	65QA.00	aids carrier	HIV/AIDS
23770	A788.00	acquired immune deficiency syndrome	HIV/AIDS
23773	7L1B100	removal of ambulatory peritoneal dialysis catheter	Renal disease
23775	J62y.12	liver failure nos	Liver disease
2378	66AJ.00	diabetic - poor control	Diabetes (uncomplicated)
2379	9N1Q.00	seen in diabetic clinic	Diabetes (uncomplicated)
23833	N04yz00	other specified inflammatory polyarthropathy nos	Rheumatoid arthritis and collagen diseases
23834	N005.00	adult still's disease	Rheumatoid arthritis and collagen diseases
23835	E040.11	korsakoff's non-alcoholic psychosis	Alcohol abuse
23861	B551100	malignant neoplasm of chest wall nos	Solid tumour or leukaemia
23913	K014.00	"nephrotic syndrome, minor glomerular abnormality"	Renal disease
23936	ZV10411	[v]personal history of malignant neoplasm of cervix uteri	Solid tumour or leukaemia
23942	G650.00	basilar artery syndrome	Other neurological disorders
23951	A789200	hiv disease resulting in candidiasis	HIV/AIDS
23963	ZV11111	[v]personal history of manic-depressive psychosis	Depression
23990	K03T.00	"tubulo-interstit nephritis, not specif as acute or chron"	Renal disease
24021	J102000	peptic ulcer of oesophagus	Peptic ulcer disease
24035	E031400	"subacute confusional state, of cerebrovascular origin"	Other neurological disorders
24040	J110.00	acute gastric ulcer	Peptic ulcer disease
24048	B180200	malignant neoplasm of retrocaecal tissue	Solid tumour or leukaemia
24062	Eu84111	[x]atypical childhood psychosis	Psychoses
24064	E231100	continuous chronic alcoholism	Alcohol abuse
24097	7A48300	bypass popliteal artery by pop/pop a anast c vein graft nec	Peripheral vascular disease
24105	SN48112	paralysis following electric shock	Paralysis
24107	Eu20511	[x]chronic undifferentiated schizophrenia	Psychoses
24112	Eu32313	[x]single episode of psychotic depression	Depression
24117	Eu32311	[x]single episode of major depression and psychotic symptoms	Psychoses
24127	9OIA.11	hypertension monitored	Hypertension (uncomplicated)
2413	A70z000	hepatitis c	Liver disease
2417	G65..13	vertebro-basilar insufficiency	Other neurological disorders
24171	E113400	"recurrent major depressive episodes, severe, with psychosis"	Psychoses
2418	G6...00	cerebrovascular disease	Other neurological disorders
24200	N101.00	spinal enthesopathy	Rheumatoid arthritis and collagen diseases
24208	BBEH.00	[m]superficial spreading melanoma	Solid tumour or leukaemia
24220	7609	open operations on oesophageal varices	Liver disease
24228	B831000	carcinoma in situ of endocervix	Solid tumour or leukaemia
24230	E117600	"unspecified bipolar affective disorder, in full remission"	Psychoses
24235	B524.00	malig neopl peripheral nerves and autonomic nervous system	Solid tumour or leukaemia
24244	E14y000	atypical childhood psychoses	Psychoses
24248	H313.00	mixed simple and mucopurulent chronic bronchitis	Chronic pulmonary disease
24293	BB2B.00	"[m]squamous cell carcinoma, metastatic nos"	Metastatic cancer
24301	B57..12	secondary carcinoma of respiratory and/or digestive systems	Metastatic cancer
24309	F250200	epileptic seizures - atonic	Other neurological disorders
24312	BB62.00	[m]apocrine adenoma and adenocarcinomas	Solid tumour or leukaemia
24327	M271000	ischaemic ulcer diabetic foot	Diabetes with end-organ damage
24342	J110y00	acute gastric ulcer unspecified	Peptic ulcer disease
24345	E134.00	psychogenic paranoid psychosis	Psychoses
24356	H540100	hypostatic bronchopneumonia	Chronic pulmonary disease
24361	7B00200	transplantation of kidney from cadaver	Renal disease
24363	8A13.00	diabetic stabilisation	Diabetes (uncomplicated)
24370	B142.00	malignant neoplasm of anal canal	Solid tumour or leukaemia
24374	B0...11	"carcinoma of lip, oral cavity and pharynx"	Solid tumour or leukaemia
24375	B339.00	dermatofibrosarcoma protuberans	Solid tumour or leukaemia
24377	G560.11	third degree atrioventricular block	Cardiac arrythmia
24384	K032400	familial glomerulonephritis in alport's syndrome	Renal disease
24387	Eu04.13	[x]acute / subacute infective psychosis	Psychoses
24397	B061.00	malignant neoplasm of tonsillar fossa	Solid tumour or leukaemia
24423	C108.13	type i diabetes mellitus	Diabetes (uncomplicated)
24424	P7y0100	congenital cerebral arteriovenous aneurysm	Peripheral vascular disease
24441	E240z00	opioid drug dependence nos	Drug abuse
24446	G63y100	cerebral infarction due to embolism of precerebral arteries	Other neurological disorders
24458	C109711	type ii diabetes mellitus - poor control	Diabetes (uncomplicated)
24466	H58y000	broncholithiasis	Chronic pulmonary disease
24479	663d.00	emergency asthma admission since last appointment	Chronic pulmonary disease
24482	7937z00	other cardiac pacemaker system nos	Cardiac arrythmia
24485	E231300	chronic alcoholism in remission	Alcohol abuse
24490	C100000	"diabetes mellitus, juvenile type, no mention of complication"	Diabetes (uncomplicated)
245	G410.00	primary pulmonary hypertension	Pulmonary circulation disorders
24503	8B29.00	cardiac failure therapy	Congestive heart failure
24506	8791	further asthma - drug prevent.	Chronic pulmonary disease
24511	BB09.00	"[m]malignant tumour, giant cell type"	Solid tumour or leukaemia
2452	D014.00	protein-deficiency anaemia	Deficiency anaemia
24533	P6y5.00	congenital heart block	Cardiac arrythmia
24539	BBV2.00	[m]chondroblastic osteosarcoma	Solid tumour or leukaemia
24549	G42..00	other pulmonary circulation disease	Pulmonary circulation disorders
24551	BBE1.11	[m]melanocarcinoma	Solid tumour or leukaemia
24557	G540z00	mitral valve disorders nos	Valvular disease
24571	F372200	asymptomatic diabetic neuropathy	Diabetes with end-organ damage
24581	F11x600	cerebral degeneration due to vitamin b12 deficiency	Other neurological disorders
24616	E243000	"cannabis dependence, unspecified"	Drug abuse
