medcodeGold	medcodeA	readcode	readterm	Category
	1.93205E+15		3D study - problems with diabetes management	Diabetes
	356119011		Abnormal metabolic state in diabetes mellitus	Diabetes
	3636752017		Acute complication co-occurrent and due to diabetes mellitus	Diabetes
	3636751012		Acute complication with diabetes mellitus	Diabetes
	1.16332E+16		ADM - atypical diabetes mellitus	Diabetes
	1.82464E+15		Advised about diabetes and driving	Diabetes
	1.85881E+15		AURAS-AF - consider the patient to have diabetes	Diabetes
	1.8733E+15		Care contact service: diabetes	Diabetes
	1.80375E+15		"DIDMOAD - Diabetes insip, diabetes mell, optic atrophy, deafness"	Diabetes
	2.37823E+15	8Hgd.00	Discharge from secondary care diabetes service	Diabetes
	9986011		Drug-induced diabetes mellitus	Diabetes
	7.74616E+15		Gingival disease co-occurrent with diabetes mellitus	Diabetes
	7.64468E+15		Gingivitis co-occurrent with diabetes mellitus	Diabetes
	1.95791E+15		H/O: hypoglycaemic event in diabetes	Diabetes
	2.4611E+15	66o3.00	Has diabetes identity card	Diabetes
	2.17419E+15	14O8000	High risk of diabetes mellitus	Diabetes
	1.99404E+15		High risk of diabetes mellitus annual review declined	Diabetes
	1.82493E+15		Home visit for diabetes monitoring	Diabetes
	2817479019		Hyperglycaemic crisis in diabetes mellitus	Diabetes
	9.33231E+14	C10yz97	Hypo states in diabetes	Diabetes
	1.85317E+15		In-house diabetes foot screen discharge	Diabetes
	1.85315E+15		In-house diabetes foot screen first appointment	Diabetes
	1.85316E+15		In-house diabetes foot screen follow-up appointment	Diabetes
	1.85314E+15		In-house diabetes foot screening	Diabetes
	1.94716E+15	9Na5200	Joint consultation GP & community diabetes specialist nurse	Diabetes
	1.94715E+15	9Na5100	Joint consultn pracse nurse & comm diabetes specialist nurse	Diabetes
	1.87182E+15		Lifestyle advice regarding risk of diabetes	Diabetes
	2.36911E+15	67HA.00	Lifestyle education for diabetes	Diabetes
	1.89711E+14	C10M000	Lipoatrophic diabetes mellitus without complication	Diabetes
	7.8638E+15		Lumbosacral plexopathy co-occurrent and due to diabetes mellitus	Diabetes
	7.86381E+15		Lumbosacral plexopathy with diabetes mellitus	Diabetes
	1.69476E+15		Newly diagnosed diabetes	Diabetes
	1.95793E+15		No H/O hypoglycaemic event in diabetes	Diabetes
	6.98127E+15		Non-ketotic non-hyperosmolar coma associated with diabetes mellitus	Diabetes
	1.3791E+13	C107y00	Other specified diabetes mellitus with periph circ comps	Diabetes
	1.93534E+15		Patient in diabetes study	Diabetes
	3.51158E+15		Pretibial pigmental patches in diabetes	Diabetes
	96244016		Protein-deficient diabetes mellitus	Diabetes
	2.46062E+15	8OAL.00	Provision of diabetes identity card	Diabetes
	7.86157E+15		Radiculoplexoneuropathy due to diabetes mellitus	Diabetes
	1.85093E+15		Reason for influenza vaccine - diabetes mellitus	Diabetes
	356078011		Secondary endocrine diabetes mellitus	Diabetes
	2.58661E+15		Seen by diabetes specialist nurse	Diabetes
	2.58673E+15		Under care of community-based diabetes specialist nurse	Diabetes
	2.58669E+15		Under care of hospital-based diabetes specialist nurse	Diabetes
	8.81521E+14	C10y.99	Diabetes + other complications	Diabetes
	8.81471E+14	C103.99	Diabetes with coma	Diabetes
	8.81511E+14	C107.99	Diabetes + periph.circulat.dis	Diabetes
	8.81481E+14	C104.99	Diabetes + nephropathy	Diabetes
	8.81501E+14	C106.99	Diabetes + neuropathy	Diabetes
	9.08831E+14		[RFC] Diabetes mellitus	Diabetes
	8.81491E+14	C105.99	Diabetes + eye manifestation	Diabetes
	9.32641E+14	C103y99	Diabetes with coma	Diabetes
	9.58321E+14		DHDS pilot project outcome - new diagnosis Diabetes	Diabetes
	8.81461E+14	C101.99	Diabetes+ketoacidosis -no coma	Diabetes
	9.05621E+14		[RFC] Diabetes	Diabetes
	1.01366E+15		Adverse reaction to Drugs Used In Diabetes	Diabetes
	1.77538E+15		Referred to Diabetes Service	Diabetes
	1.77658E+15		Reason for referral: Diabetes	Diabetes
	1.82408E+15		Diabetes clinical pathway protocol followed	Diabetes
	1.82392E+15		Diabetes mellitus confirmed	Diabetes
	1.85664E+15		Diabetes monitoring in primary care	Diabetes
	1.85665E+15		Diabetes monitoring in secondary care	Diabetes
	1.85482E+15		Diabetes year of care annual review	Diabetes
	1.87737E+15		Diabetes clinical management plan no longer in place	Diabetes
	1.85666E+15		Diabetes treatment type	Diabetes
	1.91836E+15		Diabetes care planning test results sent to patient	Diabetes
	1.82219E+15		Diabetes pathway protocol not followed	Diabetes
	1488749011	66b1.00	Diabetic monitoring not required	Diabetes
	3.8311E+13		Treatment Of Diabetic Neuropathy	Diabetes
	6.40011E+14		Emergency Diabetic Admission since last appointment	Diabetes
	6.16891E+14		Diabetic - moderate control	Diabetes
	6.17041E+14		Diabetic Foot Risk Assessment	Diabetes
	8.56531E+14		Diabetic - GP eye check	Diabetes
	8.56551E+14		Diabetic - hospital eye check	Diabetes
	8.56561E+14		Diabetic foot risk assessment	Diabetes
	9.06711E+14		[RFC] Diabetic foot/leg ulcer	Diabetes
	9.10501E+14		[RFC] Diabetic foot ulcer	Diabetes
	9.10211E+14		[RFC] Diabetic health promotion	Diabetes
	9.10491E+14		[RFC] Diabetic leg ulcer	Diabetes
	1.71337E+15		Diabetic medicine	Diabetes
	1.80419E+15		Diabetic retinopathy screen done by optician	Diabetes
	1.842E+15		Diabetic annual review by practice nurse	Diabetes
	1.84147E+15		Diabetic foot screening invitation first letter	Diabetes
	1.84149E+15		Diabetic foot screening invitation third letter	Diabetes
	1.87634E+15		Diabetic 3 month review	Diabetes
	1.85961E+15		Diabetic - eye check	Diabetes
	1.96062E+15		Diabetic foot examination - no action required	Diabetes
	1.95404E+15		Diabetic - uses carbohydrate counting	Diabetes
	1.83967E+15		Diabetic short review	Diabetes
	1.84145E+15		Diabetic foot screening invitation	Diabetes
	1.84146E+15		Diabetic foot screening invitation letter	Diabetes
	1.96061E+15		Diabetic foot examination - action required	Diabetes
	2.36891E+15	679L300	Diabetic foot care education	Diabetes
	2.28523E+15		Glucorx Allpresan Diabetic	Diabetes
	454093011		HONKS - Diabetic hyperosmolar non-ketotic state	Diabetes
	454092018		Diabetic hyperosmolar non-ketotic state	Diabetes
	356121018		Diabetic severe hyperglycaemia	Diabetes
	2.41519E+15	1M8..00	Diabetic peripheral neuropathic pain	Diabetes
	1.69633E+15		Diabetic dermopathy	Diabetes
	1.96632E+15	66o6.00	Diabetic on insulin and glucagon-like peptide 1	Diabetes
	7.85173E+15		Diabetic mastopathy	Diabetes
	7.86158E+15		Diabetic radiculoplexus neuropathy	Diabetes
	7.7411E+15		Diabetic embryopathy	Diabetes
	6.63059E+15		Diabetic retinal venous beading	Diabetes
	1.84148E+15		Diabetic foot screening invitation second letter	Diabetes
	178798017		Diabetic ketoacidosis without coma	Diabetes
	2.9064E+15		Diabetic retinal microaneurysm	Diabetes
	1.06002E+15		Adverse reaction to Pholcomed Diabetic	Diabetes
	1.01375E+15		Adverse reaction to Treatment Of Diabetic Neuropathy	Diabetes
	1.78098E+15		Diabetic on non-insulin injectable	Diabetes
	324113011	SL23.00	Insulins and antidiabetic poisoning	Diabetes
	449540010		Discharge by diabetic liaison nurse	Diabetes
	8.56611E+14		Laser treated diabetic retinopathy	Diabetes
	8.56631E+14		Left laser treated diabetic retinopathy	Diabetes
	8.56671E+14		Left diabetic foot high risk	Diabetes
	8.57031E+14		Left non-proliferative diabetic retinopathy	Diabetes
	8.57741E+14		Right diabetic foot moderate risk	Diabetes
	8.57761E+14		Right diabetic foot low current risk	Diabetes
	8.57421E+14		Right laser treated diabetic retinopathy	Diabetes
	8.57721E+14		Right diabetic foot high risk	Diabetes
	8.56621E+14		Left proliferative diabetic retinopathy	Diabetes
	8.56681E+14		Left diabetic foot moderate risk	Diabetes
	8.57431E+14		Right diabetic maculopathy	Diabetes
	8.56691E+14		Left diabetic foot low current risk	Diabetes
	8.57051E+14		Left preproliferative diabetic retinopathy	Diabetes
	8.57691E+14		Right diabetic foot active ulceration	Diabetes
	7.30471E+14	9m01.00	Ineligible for diabetic retinopathy screening	Diabetes
	9.18281E+14		Pt advised re diabetic diet	Diabetes
	8.56651E+14		Left advanced diabetic retinal disease	Diabetes
	8.56661E+14		Left diabetic foot active ulceration	Diabetes
	9.87441E+14		Six month diabetic review	Diabetes
	8.57971E+14		Right non-proliferative diabetic retinopathy	Diabetes
	8.57981E+14		Right preproliferative diabetic retinopathy	Diabetes
	9.02201E+14	TJ23.99	Reaction: insulin/antidiabetic	Diabetes
	1.53913E+15		Referral for diabetic retinopathy screening	Diabetes
	1.62101E+15		No evidence of diabetic peripheral neuropathy	Diabetes
	1.67358E+15		Ineligibility for diabetic eye screening: Physical disability	Diabetes
	1.77338E+15		Seen in in-house nurse-led diabetic clinic	Diabetes
	2.24999E+15	8HgZ.00	Discharge from in-house diabetic foot screening	Diabetes
	2.24987E+15	9NJy000	In-house diabetic foot screening first appointment	Diabetes
	2.01495E+15		New diabetic foot ulcer	Diabetes
	1.82239E+15		Date other antidiabetic drug started	Diabetes
	2.24995E+15	9NJy100	In-house diabetic foot screening follow-up appointment	Diabetes
	2.38048E+15	66o1.00	Enquiry about diabetic erectile dysfunction declined	Diabetes
	8.56641E+14		Left diabetic maculopathy	Diabetes
	8.57441E+14		Right advanced diabetic retinal disease	Diabetes
	7.37031E+14	9m0A.00	Declined diabetic retinopathy screening	Diabetes
	8.57411E+14		Right proliferative diabetic retinopathy	Diabetes
6795		1252	FH: Diabetes mellitus	Remove
113594		38QW.00	Diabetes Distress Scale 2 item	Diabetes
		14P3.00	H/O: insulin therapy	Diabetes
		M21yC00	Insulin lipohypertrophy	Diabetes
		M21yC11	Insulin site lipohypertrophy	Diabetes
		7L10000	Continuous subcutaneous infusion of insulin	Diabetes
		7L19800	Subcutaneous injection of insulin	Diabetes
		889A.00	Diab mellit insulin-glucose infus acute myocardial infarct	Diabetes
		8I3k.00	Insulin therapy declined	Diabetes
		9OLH.00	Attended DAFNE diabetes structured education programme	Type1
2478		66AJ100	Brittle diabetes	DiabetesOther
23479		C350011	Bronzed diabetes	DiabetesOther
	356115017		Congenital insulin-dependent diabetes mellitus with fatal secretory diarrhoea	DiabetesOther
93380		C10N100	Cystic fibrosis related diabetes mellitus	DiabetesOther
93491		9OLJ.00	DAFNE diabetes structured education programme completed	Type1
		9OLJ.00	DAFNE diabetes structured education programme completed	Type1
43453		C10C.00	Diabetes mellitus autosomal dominant	DiabetesOther
70448		C107000	"Diabetes mellitus, juvenile +peripheral circulatory disorder"	Type1Maybe
		C107000	"Diabetes mellitus, juvenile +peripheral circulatory disorder"	Type1Maybe
69748		C105000	"Diabetes mellitus, juvenile type, + ophthalmic manifestation"	Type1Maybe
		C105000	"Diabetes mellitus, juvenile type, + ophthalmic manifestation"	Type1Maybe
		C105000	"Diabetes mellitus, juvenile type, + ophthalmic manifestation"	Type1Maybe
68792		C10z000	"Diabetes mellitus, juvenile type, + unspecified complication"	Type1Maybe
24490		C100000	"Diabetes mellitus, juvenile type, no mention of complication"	Type1Maybe
		C100000	"Diabetes mellitus, juvenile type, no mention of complication"	Type1Maybe
40023		C102000	"Diabetes mellitus, juvenile type, with hyperosmolar coma"	Type1Maybe
		C102000	"Diabetes mellitus, juvenile type, with hyperosmolar coma"	Type1Maybe
53200		C101000	"Diabetes mellitus, juvenile type, with ketoacidosis"	Type1Maybe
		C101000	"Diabetes mellitus, juvenile type, with ketoacidosis"	Type1Maybe
42567		C103000	"Diabetes mellitus, juvenile type, with ketoacidotic coma"	Type1Maybe
		C103000	"Diabetes mellitus, juvenile type, with ketoacidotic coma"	Type1Maybe
93922		C104000	"Diabetes mellitus, juvenile type, with renal manifestation"	Type1Maybe
		C104000	"Diabetes mellitus, juvenile type, with renal manifestation"	Type1Maybe
		C104000	"Diabetes mellitus, juvenile type, with renal manifestation"	Type1Maybe
67853		C106000	"Diabetes mellitus, juvenile, + neurological manifestation"	Type1Maybe
		C106000	"Diabetes mellitus, juvenile, + neurological manifestation"	Type1Maybe
		C106000	"Diabetes mellitus, juvenile, + neurological manifestation"	Type1Maybe
85660		66An.00	Diabetes type 1 review	Type1
		66An.00	Diabetes type 1 review	Type1
16946		13L4.11	Diabetic child	Type1Maybe
99277		9NiC.00	Did not attend DAFNE diabetes structured education programme	Type1
97809		8I82.00	Did not complete DAFNE diabetes structured education program	Type1
		8I82.00	Did not complete DAFNE diabetes structured education program	Type1
69043		ZC2C900	Dietary advice for type I diabetes	Type1
	1.70475E+15	9m09.00	Excluded from diabetic retinop screen as no longer diabetic	Resolved
	8.1204E+15		Hyperosmolar coma due to secondary diabetes mellitus	DiabetesOther
95636		C10ER00	Latent autoimmune diabetes mellitus in adult	DiabetesOther
283823		2500AH	LATENT DIABETES	DiabetesOther
52236		C10A.00	Malnutrition-related diabetes mellitus	DiabetesOther
	356077018		Malnutrition-related diabetes mellitus - fibrocalculous	DiabetesOther
	1231774017		Malnutrition-related diabetes mellitus - protein-deficient	DiabetesOther
66675		C10A000	Malnutrition-related diabetes mellitus with coma	DiabetesOther
33969		C10A100	Malnutrition-related diabetes mellitus with ketoacidosis	DiabetesOther
	7.19561E+14	C10A600	Malnutrition-related diabetes mellitus with multiple comps	DiabetesOther
	7.19571E+14	C10A200	Malnutrition-related diabetes mellitus with renal complicatn	DiabetesOther
	292612014	C10A700	Malnutrition-related diabetes mellitus without complications	DiabetesOther
	7.19591E+14	C10A400	Malnutrition-related diabetes mellitus wth neuro complicatns	DiabetesOther
100347		C10A500	Malnutritn-relat diabetes melitus wth periph circul complctn	DiabetesOther
	7.20311E+14	C10AX00	Malnutrit-relat diabetes mellitus with other spec comps	DiabetesOther
	7.19471E+14	C10AW00	Malnutrit-related diabetes mellitus with unspec complics	DiabetesOther
	7.19481E+14	C10A300	Malnutrit-related diabetes mellitus wth ophthalmic complicat	DiabetesOther
95539		C10FS00	Maternally inherited diabetes mellitus	DiabetesOther
98392		C10C.12	Maturity onset diabetes in youth type 1	Type1
113115		C10Q.00	Maturity onset diabetes of the young type 5	DiabetesOther
109133		L180700	Pre-existing malnutrition-related diabetes mellitus	DiabetesOther
93704		8Hj3.00	Referral to DAFNE diabetes structured education programme	Type1
		8Hj3.00	Referral to DAFNE diabetes structured education programme	Type1
106953		8IEa.00	Referral to DAFNE diabetes structured educn prog declined	Type1
22487		C10N.00	Secondary diabetes mellitus	DiabetesOther
94383		C10N000	Secondary diabetes mellitus without complication	DiabetesOther
51697		C10G.00	Secondary pancreatic diabetes mellitus	DiabetesOther
96506		C10G000	Secondary pancreatic diabetes mellitus without complication	DiabetesOther
1549		C10E.00	Type 1 diabetes mellitus	Type1
17858		C108.12	Type 1 diabetes mellitus	Type1
		C108.12	Type 1 diabetes mellitus	Type1
		C10E.00	Type 1 diabetes mellitus	Type1
		C108.12	Type 1 diabetes mellitus	Type1
35288		C10E800	Type 1 diabetes mellitus - poor control	Type1
45914		C108812	Type 1 diabetes mellitus - poor control	Type1
		C108812	Type 1 diabetes mellitus - poor control	Type1
		C10E800	Type 1 diabetes mellitus - poor control	Type1
		C108812	Type 1 diabetes mellitus - poor control	Type1
109628		C10P011	Type 1 diabetes mellitus in remission	Type1
97446		C108912	Type 1 diabetes mellitus maturity onset	Type1
40682		C10E900	Type 1 diabetes mellitus maturity onset	Type1
		C108912	Type 1 diabetes mellitus maturity onset	Type1
		C10E900	Type 1 diabetes mellitus maturity onset	Type1
		C108912	Type 1 diabetes mellitus maturity onset	Type1
18642		C10EH00	Type 1 diabetes mellitus with arthropathy	Type1
	459520010	212H.00	Diabetes resolved	Resolved
	6.16801E+14	2126300	Diabetes resolved	Resolved
		C10EH00	Type 1 diabetes mellitus with arthropathy	Type1
49554		C10EF00	Type 1 diabetes mellitus with diabetic cataract	Type1
		C10EF00	Type 1 diabetes mellitus with diabetic cataract	Type1
		C10EF00	Type 1 diabetes mellitus with diabetic cataract	Type1
22871		C10EP00	Type 1 diabetes mellitus with exudative maculopathy	Type1
		C10EP00	Type 1 diabetes mellitus with exudative maculopathy	Type1
		C10EP00	Type 1 diabetes mellitus with exudative maculopathy	Type1
69993		C10E600	Type 1 diabetes mellitus with gangrene	Type1
		C10E600	Type 1 diabetes mellitus with gangrene	Type1
55239		C10EQ00	Type 1 diabetes mellitus with gastroparesis	Type1
		C10EQ00	Type 1 diabetes mellitus with gastroparesis	Type1
		C10EQ00	Type 1 diabetes mellitus with gastroparesis	Type1
70766		C108E12	Type 1 diabetes mellitus with hypoglycaemic coma	Type1
39070		C10EE00	Type 1 diabetes mellitus with hypoglycaemic coma	Type1
		C108E12	Type 1 diabetes mellitus with hypoglycaemic coma	Type1
		C10EE00	Type 1 diabetes mellitus with hypoglycaemic coma	Type1
10692		C10EM00	Type 1 diabetes mellitus with ketoacidosis	Type1
		C10EM00	Type 1 diabetes mellitus with ketoacidosis	Type1
40837		C10EN00	Type 1 diabetes mellitus with ketoacidotic coma	Type1
		C10EN00	Type 1 diabetes mellitus with ketoacidotic coma	Type1
68105		C10EB00	Type 1 diabetes mellitus with mononeuropathy	Type1
		C10EB00	Type 1 diabetes mellitus with mononeuropathy	Type1
		C10EB00	Type 1 diabetes mellitus with mononeuropathy	Type1
47650		C10E300	Type 1 diabetes mellitus with multiple complications	Type1
		C10E300	Type 1 diabetes mellitus with multiple complications	Type1
10418		C10ED00	Type 1 diabetes mellitus with nephropathy	Type1
		C10ED00	Type 1 diabetes mellitus with nephropathy	Type1
		C10ED00	Type 1 diabetes mellitus with nephropathy	Type1
61829		C108212	Type 1 diabetes mellitus with neurological complications	Type1
42831		C10E200	Type 1 diabetes mellitus with neurological complications	Type1
		C108212	Type 1 diabetes mellitus with neurological complications	Type1
		C10E200	Type 1 diabetes mellitus with neurological complications	Type1
		C108212	Type 1 diabetes mellitus with neurological complications	Type1
		C10E200	Type 1 diabetes mellitus with neurological complications	Type1
		C108212	Type 1 diabetes mellitus with neurological complications	Type1
18230		C108J12	Type 1 diabetes mellitus with neuropathic arthropathy	Type1
54008		C10EJ00	Type 1 diabetes mellitus with neuropathic arthropathy	Type1
		C108J12	Type 1 diabetes mellitus with neuropathic arthropathy	Type1
		C10EJ00	Type 1 diabetes mellitus with neuropathic arthropathy	Type1
		C108J12	Type 1 diabetes mellitus with neuropathic arthropathy	Type1
		C10EJ00	Type 1 diabetes mellitus with neuropathic arthropathy	Type1
47649		C10E100	Type 1 diabetes mellitus with ophthalmic complications	Type1
		C10E100	Type 1 diabetes mellitus with ophthalmic complications	Type1
		C10E100	Type 1 diabetes mellitus with ophthalmic complications	Type1
102740		C108112	Type 1 diabetes mellitus with ophthalmic complications	Type1
93468		C10EG00	Type 1 diabetes mellitus with peripheral angiopathy	Type1
		C10EG00	Type 1 diabetes mellitus with peripheral angiopathy	Type1
30294		C10EL00	Type 1 diabetes mellitus with persistent microalbuminuria	Type1
		C10EL00	Type 1 diabetes mellitus with persistent microalbuminuria	Type1
		C10EL00	Type 1 diabetes mellitus with persistent microalbuminuria	Type1
30323		C10EK00	Type 1 diabetes mellitus with persistent proteinuria	Type1
		C10EK00	Type 1 diabetes mellitus with persistent proteinuria	Type1
		C10EK00	Type 1 diabetes mellitus with persistent proteinuria	Type1
46301		C10EC00	Type 1 diabetes mellitus with polyneuropathy	Type1
		C10EC00	Type 1 diabetes mellitus with polyneuropathy	Type1
		C10EC00	Type 1 diabetes mellitus with polyneuropathy	Type1
47582		C10E000	Type 1 diabetes mellitus with renal complications	Type1
21983		C108012	Type 1 diabetes mellitus with renal complications	Type1
		C108012	Type 1 diabetes mellitus with renal complications	Type1
		C10E000	Type 1 diabetes mellitus with renal complications	Type1
		C108012	Type 1 diabetes mellitus with renal complications	Type1
		C10E000	Type 1 diabetes mellitus with renal complications	Type1
		C108012	Type 1 diabetes mellitus with renal complications	Type1
41049		C108712	Type 1 diabetes mellitus with retinopathy	Type1
18387		C10E700	Type 1 diabetes mellitus with retinopathy	Type1
		C108712	Type 1 diabetes mellitus with retinopathy	Type1
		C10E700	Type 1 diabetes mellitus with retinopathy	Type1
		C108712	Type 1 diabetes mellitus with retinopathy	Type1
		C10E700	Type 1 diabetes mellitus with retinopathy	Type1
		C108712	Type 1 diabetes mellitus with retinopathy	Type1
68390		C108512	Type 1 diabetes mellitus with ulcer	Type1
18683		C10E500	Type 1 diabetes mellitus with ulcer	Type1
		C108512	Type 1 diabetes mellitus with ulcer	Type1
		C10E500	Type 1 diabetes mellitus with ulcer	Type1
		C108512	Type 1 diabetes mellitus with ulcer	Type1
69676		C10EA00	Type 1 diabetes mellitus without complication	Type1
		C10EA00	Type 1 diabetes mellitus without complication	Type1
104453		66At011	Type 1 diabetic dietary review	Type1
24423		C108.13	Type I diabetes mellitus	Type1
12455		C10E.11	Type I diabetes mellitus	Type1
		C10E.11	Type I diabetes mellitus	Type1
		C108.13	Type I diabetes mellitus	Type1
46850		C108811	Type I diabetes mellitus - poor control	Type1
		C108811	Type I diabetes mellitus - poor control	Type1
		C108811	Type I diabetes mellitus - poor control	Type1
105337		C10E811	Type I diabetes mellitus - poor control	Type1
108360		C10P000	Type I diabetes mellitus in remission	Type1
63017		C108911	Type I diabetes mellitus maturity onset	Type1
96235		C10E911	Type I diabetes mellitus maturity onset	Type1
		C108911	Type I diabetes mellitus maturity onset	Type1
		C10E911	Type I diabetes mellitus maturity onset	Type1
		C108911	Type I diabetes mellitus maturity onset	Type1
62352		C108H11	Type I diabetes mellitus with arthropathy	Type1
		C108H11	Type I diabetes mellitus with arthropathy	Type1
17545		C108F11	Type I diabetes mellitus with diabetic cataract	Type1
		C108F11	Type I diabetes mellitus with diabetic cataract	Type1
		C108F11	Type I diabetes mellitus with diabetic cataract	Type1
97894		C10EP11	Type I diabetes mellitus with exudative maculopathy	Type1
		C10EP11	Type I diabetes mellitus with exudative maculopathy	Type1
		C10EP11	Type I diabetes mellitus with exudative maculopathy	Type1
102112		C10E611	Type I diabetes mellitus with gangrene	Type1
108724		C10EQ11	Type I diabetes mellitus with gastroparesis	Type1
42729		C108E11	Type I diabetes mellitus with hypoglycaemic coma	Type1
		C108E11	Type I diabetes mellitus with hypoglycaemic coma	Type1
62209		C10EM11	Type I diabetes mellitus with ketoacidosis	Type1
		C10EM11	Type I diabetes mellitus with ketoacidosis	Type1
66145		C10EN11	Type I diabetes mellitus with ketoacidotic coma	Type1
		C10EN11	Type I diabetes mellitus with ketoacidotic coma	Type1
99231		C108B11	Type I diabetes mellitus with mononeuropathy	Type1
91942		C10E311	Type I diabetes mellitus with multiple complications	Type1
		C10E311	Type I diabetes mellitus with multiple complications	Type1
108007		C108311	Type I diabetes mellitus with multiple complications	Type1
66872		C108D11	Type I diabetes mellitus with nephropathy	Type1
		C108D11	Type I diabetes mellitus with nephropathy	Type1
		C108D11	Type I diabetes mellitus with nephropathy	Type1
49146		C108211	Type I diabetes mellitus with neurological complications	Type1
		C108211	Type I diabetes mellitus with neurological complications	Type1
		C108211	Type I diabetes mellitus with neurological complications	Type1
		C108211	Type I diabetes mellitus with neurological complications	Type1
60208		C108J11	Type I diabetes mellitus with neuropathic arthropathy	Type1
		C108J11	Type I diabetes mellitus with neuropathic arthropathy	Type1
		C108J11	Type I diabetes mellitus with neuropathic arthropathy	Type1
99311		C10E111	Type I diabetes mellitus with ophthalmic complications	Type1
102620		C10EL11	Type I diabetes mellitus with persistent microalbuminuria	Type1
91943		C10EC11	Type I diabetes mellitus with polyneuropathy	Type1
		C10EC11	Type I diabetes mellitus with polyneuropathy	Type1
		C10EC11	Type I diabetes mellitus with polyneuropathy	Type1
346841		C108C11	Type I diabetes mellitus with polyneuropathy	Type1
61344		C108011	Type I diabetes mellitus with renal complications	Type1
		C108011	Type I diabetes mellitus with renal complications	Type1
		C108011	Type I diabetes mellitus with renal complications	Type1
		C108011	Type I diabetes mellitus with renal complications	Type1
38161		C108711	Type I diabetes mellitus with retinopathy	Type1
95343		C10E711	Type I diabetes mellitus with retinopathy	Type1
		C108711	Type I diabetes mellitus with retinopathy	Type1
		C10E711	Type I diabetes mellitus with retinopathy	Type1
		C108711	Type I diabetes mellitus with retinopathy	Type1
		C10E711	Type I diabetes mellitus with retinopathy	Type1
		C108711	Type I diabetes mellitus with retinopathy	Type1
51957		C108511	Type I diabetes mellitus with ulcer	Type1
93878		C10E511	Type I diabetes mellitus with ulcer	Type1
		C108511	Type I diabetes mellitus with ulcer	Type1
		C10E511	Type I diabetes mellitus with ulcer	Type1
		C108511	Type I diabetes mellitus with ulcer	Type1
62613		C10EA11	Type I diabetes mellitus without complication	Type1
95992		C108A11	Type I diabetes mellitus without complication	Type1
		C108A11	Type I diabetes mellitus without complication	Type1
		C10EA11	Type I diabetes mellitus without complication	Type1
102704		66At000	Type I diabetic dietary review	Type1
1045		C135.00	Diabetes insipidus	DiabetesOther
32359		ZRbH.00	Perceived control of insulin-dependent diabetes	IDDM
97849		C10E912	Insulin dependent diabetes maturity onset	IDDM
72702		C10E812	Insulin dependent diabetes mellitus - poor control	IDDM
54600		C10E412	Unstable insulin dependent diabetes mellitus	IDDM
1038		C100011	Insulin dependent diabetes mellitus	IDDM
50960		L180500	"Pre-existing diabetes mellitus, insulin-dependent"	IDDM
44440		C108E00	Insulin dependent diabetes mellitus with hypoglycaemic coma	IDDM
1647		C108.00	Insulin dependent diabetes mellitus	IDDM
26855		C108400	Unstable insulin dependent diabetes mellitus	IDDM
51261		C10E.12	Insulin dependent diabetes mellitus	IDDM
6791		C108800	Insulin dependent diabetes mellitus - poor control	IDDM
31310		C108900	Insulin dependent diabetes maturity onset	IDDM
56448		C108A00	Insulin-dependent diabetes without complication	IDDM
18505		C108.11	IDDM-Insulin dependent diabetes mellitus	IDDM
98071		C10E112	Insulin-dependent diabetes mellitus with ophthalmic comps	IDDM
98704		C10E512	Insulin dependent diabetes mellitus with ulcer	IDDM
44260		C108F00	Insulin dependent diabetes mellitus with diabetic cataract	IDDM
52104		C108300	Insulin dependent diabetes mellitus with multiple complicatn	IDDM
93875		C10E712	Insulin dependent diabetes mellitus with retinopathy	IDDM
46963		C108000	Insulin-dependent diabetes mellitus with renal complications	IDDM
49276		C108100	Insulin-dependent diabetes mellitus with ophthalmic comps	IDDM
69124		C107300	IDDM with peripheral circulatory disorder	IDDM
24694		C108B00	Insulin dependent diabetes mellitus with mononeuropathy	IDDM
44443		C108500	Insulin dependent diabetes mellitus with ulcer	IDDM
57621		C108D00	Insulin dependent diabetes mellitus with nephropathy	IDDM
65616		C108H00	Insulin dependent diabetes mellitus with arthropathy	IDDM
64446		C108G00	Insulin dependent diab mell with peripheral angiopathy	IDDM
60499		C108600	Insulin dependent diabetes mellitus with gangrene	IDDM
6509		C108700	Insulin dependent diabetes mellitus with retinopathy	IDDM
45276		C10E312	Insulin dependent diabetes mellitus with multiple complicat	IDDM
52283		C108200	Insulin-dependent diabetes mellitus with neurological comps	IDDM
		C107300	IDDM with peripheral circulatory disorder	IDDM
		C108.11	IDDM-Insulin dependent diabetes mellitus	IDDM
		C108900	Insulin dependant diabetes maturity onset	IDDM
		C108800	Insulin dependant diabetes mellitus - poor control	IDDM
		C108J00	Insulin dependent diab mell with neuropathic arthropathy	IDDM
		C100011	Insulin dependent diabetes mellitus	IDDM
		C108.00	Insulin dependent diabetes mellitus	IDDM
		C108F00	Insulin dependent diabetes mellitus with diabetic cataract	IDDM
		C108600	Insulin dependent diabetes mellitus with gangrene	IDDM
		C108B00	Insulin dependent diabetes mellitus with mononeuropathy	IDDM
		C108300	Insulin dependent diabetes mellitus with multiple complicatn	IDDM
		C108D00	Insulin dependent diabetes mellitus with nephropathy	IDDM
		C108C00	Insulin dependent diabetes mellitus with polyneuropathy	IDDM
		C108700	Insulin dependent diabetes mellitus with retinopathy	IDDM
