"prodcode"	"dmdcode"	"gemscriptcode"	"productname"	"drugsubstance"	"strength"	"formulation"	"route"	"bnfcode"	"bnfchapter"
"34920"	"10705001000027102"	"49340020"	"Co-dydramol 10mg+500mg Tablet (Berk Pharmaceuticals Ltd)"	"Paracetamol/Dihydrocodeine tartrate"	"500mg + 10mg"	"Tablet"	"Oral"	"04070100/04070200"	"Non-opioid And Compound Analgesics/Opioid Analgesics"
"34939"	"62565001000027101"	"55837020"	"Co-dydramol 10mg+500mg Tablet (Duncan Flockhart Ltd)"	"Paracetamol/Dihydrocodeine tartrate"	"500mg + 10mg"	"Tablet"	"Oral"	"04070100/04070200"	"Non-opioid And Compound Analgesics/Opioid Analgesics"
"34968"	"517411000001109"	"55234020"	"Co-codamol 8mg/500mg tablets (Teva UK Ltd)"	"Paracetamol/Codeine phosphate"	"500mg + 8mg"	"Tablet"	"Oral"	"04070100/04070200"	"Non-opioid And Compound Analgesics/Opioid Analgesics"
"35792"	"27811000001100"	"50970020"	"Codeine 25mg/5ml oral solution (Thornton & Ross Ltd)"	"Codeine phosphate"	"5mg/1ml"	"Oral solution"	"Oral"	"01040200/03090100/04070200"	"Antimotility Drugs/Cough Suppressants/Opioid Analgesics"
"35965"	"9529311000001109"	"89662020"	"Medocodene 30mg/500mg effervescent tablets (Mylan)"	"Codeine phosphate/Paracetamol"	"30mg + 500mg"	"Effervescent tablet"	"Oral"	"04070100"	"Non-opioid And Compound Analgesics"
"36013"	"9508611000001104"	"81684020"	"Pulmo Bailly oral solution (Dendron Ltd)"	"Codeine/Guaiacol"	"1.4mg/1ml + 15mg/1ml"	"Oral solution"	"Oral"	"03090100"	"Cough Suppressants"
"36019"	"118225001000027109"	"63577020"	"Co-dydramol 10mg+500mg Tablet (M & A Pharmachem Ltd)"	"Paracetamol/Dihydrocodeine tartrate"	"500mg + 10mg"	"Tablet"	"Oral"	"04070100/04070200"	"Non-opioid And Compound Analgesics/Opioid Analgesics"
"36152"	"4769311000001102"	"90897020"	"Propain caplets (Ceuta Healthcare Ltd)"	"Caffeine/Diphenhydramine hydrochloride/Codeine phosphate/Paracetamol"	"50mg + 5mg + 10mg + 400mg"	"Tablet"	"Oral"	"04070000"	"Analgesics"
"36488"	"9479611000001105"	"71799020"	"Co-codamol 30mg/500mg capsules (Mylan)"	"Codeine phosphate/Paracetamol"	"30mg + 500mg"	"Capsule"	"Oral"	"04070100"	"Non-opioid And Compound Analgesics"
"36608"	"65295001000027109"	"56226020"	"Co-codamol Effervescent tablet (A A H Pharmaceuticals Ltd)"	"Codeine phosphate/Paracetamol"	"30mg + 500mg"	"Effervescent tablet"	"Oral"	"04070100/04070200"	"Non-opioid And Compound Analgesics/Opioid Analgesics"
"36846"	"9519611000001106"	"81680020"	"Guaiacol 75mg/5ml / Codeine 7mg/5ml oral solution"	"Codeine/Guaiacol"	"1.4mg/1ml + 15mg/1ml"	"Oral solution"	"Oral"	"03090100"	"Cough Suppressants"
"36993"	"9626911000001109"	"71989020"	"Co-codamol 30mg/500mg capsules (Teva UK Ltd)"	"Codeine phosphate/Paracetamol"	"30mg + 500mg"	"Capsule"	"Oral"	"04070100/04070200"	"Non-opioid And Compound Analgesics/Opioid Analgesics"
"37291"	"834011000001100"	"60085020"	"Co-dydramol 10mg/500mg tablets (Ranbaxy (UK) Ltd)"	"Paracetamol/Dihydrocodeine tartrate"	"500mg + 10mg"	"Tablet"	"Oral"	"04070100"	"Non-opioid And Compound Analgesics"
"37348"	"176785001000027108"	"71809020"	"Codeine phosphate with paracetamol, doxylamine and caffeine 10mg with 450mg with 5mg with 30mg tablets"	"Codeine Phosphate/Doxylamine Succinate/Caffeine/Paracetamol"	"10mg + 450mg + 5mg + 30mg"	"Tablets"	"Oral"	"03040102/04070100"	"Sedating Antihistamines/Non-opioid And Compound Analgesics"
"37816"	"8092711000001106"	"87860020"	"Cuprofen PLUS tablets (SSL International Plc)"	"Ibuprofen/Codeine phosphate"	"200mg + 12.8mg"	"Tablet"	"Oral"	"10010100"	"Non-steroidal Anti-inflammatory Drugs"
"37904"	"322379008"	"94749020"	"Co-codamol 12.8mg/500mg tablets"	"Codeine phosphate/Paracetamol"	"12.8mg + 500mg"	"Tablet"	"Oral"	"04070100/04070200"	"Non-opioid And Compound Analgesics/Opioid Analgesics"
"38085"	"216195001000027105"	"81312020"	"Paracetamol 500mg with codeine phosphate 10mg capsule"	"Codeine Phosphate/Paracetamol"	"500mg + 10mg"	"Capsules"	"Oral"	"04070100/04070200"	"Non-opioid And Compound Analgesics/Opioid Analgesics"
"38088"	"154935001000027103"	"68500020"	"Paracetamol 500mg with codeine phosphate 30 mg tablet"	"Codeine Phosphate/Paracetamol"	"500mg + 30mg"	"Tablets"	"Oral"	"04070100/04070200"	"Non-opioid And Compound Analgesics/Opioid Analgesics"
"38363"	"250785001000027101"	"94751020"	"Codeine phosphate 12.8mg with paracetamol 500mg tablets"	"Codeine Phosphate/Paracetamol"	"12.8mg + 500mg"	"Tablets"	"Oral"	"04070100/04070200"	"Non-opioid And Compound Analgesics/Opioid Analgesics"
"38430"	"86135001000027103"	"58864020"	"Co-dydramol 10mg+500mg Tablet (Merck Generics (UK) Ltd)"	"Paracetamol/Dihydrocodeine tartrate"	"500mg + 10mg"	"Tablet"	"Oral"	"04070100/04070200"	"Non-opioid And Compound Analgesics/Opioid Analgesics"
"38521"	"29611000001109"	"54628020"	"Dihydrocodeine 30mg tablets (Teva UK Ltd)"	"Dihydrocodeine tartrate"	"30mg"	"Tablet"	"Oral"	"04070200"	"Opioid Analgesics"
"38950"	"419911000001100"	"95821020"	"Remedeine Forte tablets (Crescent Pharma Ltd)"	"Dihydrocodeine tartrate/Paracetamol"	"30mg + 500mg"	"Tablet"	"Oral"	"04070100/04070200"	"Non-opioid And Compound Analgesics/Opioid Analgesics"
"38970"	"3038211000001108"	"95817020"	"DF 118 Forte 40mg tablets (Martindale Pharmaceuticals Ltd)"	"Dihydrocodeine tartrate"	"40mg"	"Tablet"	"Oral"	"04070200"	"Opioid Analgesics"
"38987"	"2979711000001105"	"95897020"	"Galcodine 3mg/5ml linctus paediatric (Thornton & Ross Ltd)"	"Codeine phosphate"	"600microgram/1ml"	"Oral solution"	"Oral"	"03090100"	"Cough Suppressants"
"39340"	"11579211000001107"	"74574020"	"Co-codamol 8mg/500mg caplets (Vantage)"	"Paracetamol/Codeine phosphate"	"500mg + 8mg"	"Tablet"	"Oral"	"04070100/04070200"	"Non-opioid And Compound Analgesics/Opioid Analgesics"
"39461"	"10194911000001107"	"90563020"	"Solpadeine Migraine Ibuprofen & Codeine tablets (Omega Pharma Ltd)"	"Ibuprofen/Codeine phosphate"	"200mg + 12.8mg"	"Tablet"	"Oral"	"04070200/10010100"	"Opioid Analgesics/Non-steroidal Anti-inflammatory Drugs"
"39558"	"932511000001106"	"55276020"	"Dihydrocodeine 30mg tablets (Zentiva)"	"Dihydrocodeine tartrate"	"30mg"	"Tablet"	"Oral"	"04070200"	"Opioid Analgesics"
"40159"	"3038911000001104"	"61081020"	"Dihydrocodeine 10mg/5ml oral solution (Martindale Pharmaceuticals Ltd)"	"Dihydrocodeine tartrate"	"2mg/1ml"	"Oral solution"	"Oral"	"04070200"	"Opioid Analgesics"
"40385"	"9788211000001101"	"69578020"	"Co-codamol 8mg/500mg effervescent tablets (Almus Pharmaceuticals Ltd)"	"Codeine phosphate/Paracetamol"	"8mg + 500mg"	"Effervescent tablet"	"Oral"	"04070100/04070200"	"Non-opioid And Compound Analgesics/Opioid Analgesics"
"40422"	"474911000001108"	"49361020"	"Co-dydramol 10mg/500mg tablets (Zentiva)"	"Paracetamol/Dihydrocodeine tartrate"	"500mg + 10mg"	"Tablet"	"Oral"	"04070100/04070200"	"Non-opioid And Compound Analgesics/Opioid Analgesics"
"40662"	"15737811000001102"	"76720020"	"Co-codamol 8mg/500mg effervescent tablets (Actavis UK Ltd)"	"Codeine phosphate/Paracetamol"	"8mg + 500mg"	"Effervescent tablet"	"Oral"	"04070100/04070200"	"Non-opioid And Compound Analgesics/Opioid Analgesics"
"40663"	"15447311000001100"	"76604020"	"Co-codamol 30mg/500mg effervescent tablets (Actavis UK Ltd)"	"Codeine phosphate/Paracetamol"	"30mg + 500mg"	"Effervescent tablet"	"Oral"	"04070100/04070200"	"Non-opioid And Compound Analgesics/Opioid Analgesics"
"41214"	"143915001000027103"	"67031020"	"Codeine 15mg/5ml Oral solution (Thornton & Ross Ltd)"	"Codeine phosphate"	"3mg/1ml"	"Oral solution"	"Oral"	"03090100/04070200"	"Cough Suppressants/Opioid Analgesics"
"41259"	"14167611000001107"	"76276020"	"Co-codamol 30mg/500mg effervescent tablets (Teva UK Ltd)"	"Codeine phosphate/Paracetamol"	"30mg + 500mg"	"Effervescent tablet"	"Oral"	"04070100/04070200"	"Non-opioid And Compound Analgesics/Opioid Analgesics"
"41275"	"139315001000027107"	"66420020"	"Co-codamol 8mg+500mg Tablet (Nucare Plc)"	"Paracetamol/Codeine phosphate"	"500mg + 8mg"	"Tablet"	"Oral"	"04070100/04070200"	"Non-opioid And Compound Analgesics/Opioid Analgesics"
"41276"	"15162411000001100"	"76494020"	"Co-codamol 8mg/500mg tablets (Almus Pharmaceuticals Ltd)"	"Paracetamol/Codeine phosphate"	"500mg + 8mg"	"Tablet"	"Oral"	"04070100/04070200"	"Non-opioid And Compound Analgesics/Opioid Analgesics"
"41278"	"170211000001106"	"57801020"	"Co-dydramol 10mg/500mg tablets (IVAX Pharmaceuticals UK Ltd)"	"Paracetamol/Dihydrocodeine tartrate"	"500mg + 10mg"	"Tablet"	"Oral"	"04070100"	"Non-opioid And Compound Analgesics"
"41416"	"628311000001101"	"49433020"	"Codeine 60mg tablets (Wockhardt UK Ltd)"	"Codeine phosphate"	"60mg"	"Tablet"	"Oral"	"01040200/03090100/04070200"	"Antimotility Drugs/Cough Suppressants/Opioid Analgesics"
"41523"	"25865001000027105"	"51243020"	"Codeine Oral solution (Family Health)"	"Codeine phosphate"	"3mg/1ml"	"Oral solution"	"Oral"	"03090100/04070200"	"Cough Suppressants/Opioid Analgesics"
"41535"	"297411000001104"	"53534020"	"Codeine 30mg tablets (Teva UK Ltd)"	"Codeine phosphate"	"30mg"	"Tablet"	"Oral"	"01040200/03090100/04070200"	"Antimotility Drugs/Cough Suppressants/Opioid Analgesics"
"41599"	"613111000001104"	"53536020"	"Codeine 15mg tablets (Teva UK Ltd)"	"Codeine phosphate"	"15mg"	"Tablet"	"Oral"	"01040200/03090100/04070200"	"Antimotility Drugs/Cough Suppressants/Opioid Analgesics"
"41682"	"93835001000027101"	"59950020"	"Co-codamol 30mg+500mg Effervescent tablet (Roche Consumer Health)"	"Codeine phosphate/Paracetamol"	"30mg + 500mg"	"Effervescent tablet"	"Oral"	"04070100/04070200"	"Non-opioid And Compound Analgesics/Opioid Analgesics"
"42208"	"36905001000027101"	"52616020"	"Df118 30mg Tablet (Martindale Pharmaceuticals Ltd)"	"Dihydrocodeine tartrate"	"30mg"	"Tablet"	"Oral"	"04070200"	"Opioid Analgesics"
"42213"	"12872711000001106"	"75096020"	"Co-codamol 8mg/500mg capsules (Actavis UK Ltd)"	"Codeine phosphate/Paracetamol"	"8mg + 500mg"	"Capsule"	"Oral"	"04070100"	"Non-opioid And Compound Analgesics"
"42218"	"3679811000001109"	"74305020"	"Co-codaprin 8mg/400mg dispersible tablets (A A H Pharmaceuticals Ltd)"	"Codeine phosphate/Aspirin"	"8mg + 400mg"	"Dispersible tablet"	"Oral"	"04070100"	"Non-opioid And Compound Analgesics"
"42706"	"10898611000001100"	"91720020"	"Feminax Period Pain capsules (Bayer Plc)"	"Codeine phosphate/Paracetamol"	"8mg + 500mg"	"Capsule"	"Oral"	"04070100"	"Non-opioid And Compound Analgesics"
"42791"	"7259811000001100"	"68530020"	"Co-codamol 30mg/500mg tablets (Sandoz Ltd)"	"Codeine phosphate/Paracetamol"	"30mg + 500mg"	"Tablet"	"Oral"	"04070100"	"Non-opioid And Compound Analgesics"
"42792"	"71915001000027107"	"57205020"	"Codeine 15mg/5ml Oral solution (Actavis UK Ltd)"	"Codeine phosphate"	"3mg/1ml"	"Oral solution"	"Oral"	"03090100/04070200"	"Cough Suppressants/Opioid Analgesics"
"43238"	"9554511000001103"	"71802020"	"Co-codamol 30mg/500mg effervescent tablets (Mylan)"	"Codeine phosphate/Paracetamol"	"30mg + 500mg"	"Effervescent tablet"	"Oral"	"04070100"	"Non-opioid And Compound Analgesics"
"43244"	"165865001000027106"	"70233020"	"Co-codamol 30mg+500mg Effervescent tablet (Hillcross Pharmaceuticals Ltd)"	"Codeine phosphate/Paracetamol"	"30mg + 500mg"	"Effervescent tablet"	"Oral"	"04070100/04070200"	"Non-opioid And Compound Analgesics/Opioid Analgesics"
"43414"	"10900011000001100"	"70680020"	"Co-codamol 8mg/500mg effervescent tablets (Bayer Plc)"	"Codeine phosphate/Paracetamol"	"8mg + 500mg"	"Effervescent tablet"	"Oral"	"04070100/04070200"	"Non-opioid And Compound Analgesics/Opioid Analgesics"
"43441"	"10795001000027104"	"49350020"	"Co-dydramol 10mg+500mg Tablet (Celltech Pharma Europe Ltd)"	"Paracetamol/Dihydrocodeine tartrate"	"500mg + 10mg"	"Tablet"	"Oral"	"04070100/04070200"	"Non-opioid And Compound Analgesics/Opioid Analgesics"
"43504"	"11665001000027101"	"49488020"	"Codeine phosphate Oral solution (William Ransom)"	"Codeine phosphate"	"5mg/1ml"	"Oral solution"	"Oral"	"01040200/04070200"	"Antimotility Drugs/Opioid Analgesics"
"43550"	"123811000001101"	"60099020"	"Codeine 15mg tablets (Ranbaxy (UK) Ltd)"	"Codeine phosphate"	"15mg"	"Tablet"	"Oral"	"01040200/03090100/04070200"	"Antimotility Drugs/Cough Suppressants/Opioid Analgesics"
"44159"	"18075611000001104"	"98449020"	"Solpadeine Max soluble tablets (Omega Pharma Ltd)"	"Caffeine/Codeine phosphate/Paracetamol"	"30mg + 12.8mg + 500mg"	"Effervescent tablet"	"Oral"	"04070100/04070200"	"Non-opioid And Compound Analgesics/Opioid Analgesics"
"44210"	"17572011000001107"	"98853020"	"Kapake 15mg/500mg tablets (Galen Ltd)"	"Codeine phosphate/Paracetamol"	"15mg + 500mg"	"Tablet"	"Oral"	"04070100/04070200"	"Non-opioid And Compound Analgesics/Opioid Analgesics"
"44924"	"9627111000001109"	"71985020"	"Co-codamol 30mg/500mg tablets (Teva UK Ltd)"	"Codeine phosphate/Paracetamol"	"30mg + 500mg"	"Tablet"	"Oral"	"04070100/04070200"	"Non-opioid And Compound Analgesics/Opioid Analgesics"
"46511"	"19230711000001108"	"00243021"	"Co-codamol 15mg/500mg effervescent tablets sugar free"	"Codeine phosphate/Paracetamol"	"15mg + 500mg"	"Effervescent tablet"	"Oral"	"04070100/04070200"	"Non-opioid And Compound Analgesics/Opioid Analgesics"
"46633"	"13367311000001107"	"74959020"	"Co-codamol 8mg/500mg capsules (A A H Pharmaceuticals Ltd)"	"Codeine phosphate/Paracetamol"	"8mg + 500mg"	"Capsule"	"Oral"	"04070100/04070200"	"Non-opioid And Compound Analgesics/Opioid Analgesics"
"46729"	"19200211000001107"	"00469021"	"Co-codamol 15mg/500mg capsules"	"Paracetamol/Codeine phosphate"	"500mg + 15mg"	"Capsule"	"Oral"	"04070100/04070200"	"Non-opioid And Compound Analgesics/Opioid Analgesics"
"46898"	"19191911000001105"	"00471021"	"Codipar 15mg/500mg capsules (AMCo)"	"Paracetamol/Codeine phosphate"	"500mg + 15mg"	"Capsule"	"Oral"	"04070100/04070200"	"Non-opioid And Compound Analgesics/Opioid Analgesics"
"46906"	"91455001000027101"	"59611020"	"Co-codamol 8mg+500mg Effervescent tablet (Numark Management Ltd)"	"Codeine phosphate/Paracetamol"	"8mg + 500mg"	"Effervescent tablet"	"Oral"	"04070100/04070200"	"Non-opioid And Compound Analgesics/Opioid Analgesics"
"46925"	"3680211000001108"	"53767020"	"Co-codaprin 8mg/400mg dispersible tablets (Actavis UK Ltd)"	"Codeine phosphate/Aspirin"	"8mg + 400mg"	"Dispersible tablet"	"Oral"	"04070100"	"Non-opioid And Compound Analgesics"
"46987"	"204765001000027108"	"77582020"	"Co-codamol 15mg+500mg Tablet (Hillcross Pharmaceuticals Ltd)"	"Codeine phosphate/Paracetamol"	"15mg + 500mg"	"Tablet"	"Oral"	"04070100/04070200"	"Non-opioid And Compound Analgesics/Opioid Analgesics"
"47003"	"357011000001107"	"60101020"	"Codeine 60mg tablets (Ranbaxy (UK) Ltd)"	"Codeine phosphate"	"60mg"	"Tablet"	"Oral"	"01040200/03090100/04070200"	"Antimotility Drugs/Cough Suppressants/Opioid Analgesics"
"47071"	"299475001000027100"	"00547021"	"Co-dydramol (dihydrocodeine and paracetamol) 10mg with 500mg/5ml oral suspension"	"Dihydrocodeine Tartrate/Paracetamol"	"10mg + 500mg/5ml"	"Oral Suspension"	"Oral"	"04070100/04070200"	"Non-opioid And Compound Analgesics/Opioid Analgesics"
"47081"	"259785001000027102"	"98453020"	"Paracetamol 500mg with codeine phosphate 12.8mg & caffeine 30mg effervescent tablet"	"Codeine Phosphate/Caffeine/Paracetamol"	"500mg + 12.8mg + 30mg"	"Effervescent Tablet"	"Oral"	"04070100/04070200"	"Non-opioid And Compound Analgesics/Opioid Analgesics"
"47200"	"9110711000001100"	"00453021"	"Propain Plus caplets (Ceuta Healthcare Ltd)"	"Paracetamol/Doxylamine succinate/Caffeine/Codeine phosphate"	"450mg + 5mg + 30mg + 10mg"	"Tablet"	"Oral"	"04070000"	"Analgesics"
"47508"	"19207211000001106"	"00245021"	"Codipar 15mg/500mg effervescent tablets (AMCo)"	"Codeine phosphate/Paracetamol"	"15mg + 500mg"	"Effervescent tablet"	"Oral"	"04070100/04070200"	"Non-opioid And Compound Analgesics/Opioid Analgesics"
"47847"	"10822611000001105"	"73826020"	"Co-codamol 30mg/500mg capsules (Zentiva)"	"Codeine phosphate/Paracetamol"	"30mg + 500mg"	"Capsule"	"Oral"	"04070100/04070200"	"Non-opioid And Compound Analgesics/Opioid Analgesics"
"47919"	"200625001000027105"	"76335020"	"Codeine phosphate 15mg Tablet (Wockhardt UK Ltd)"	"Codeine phosphate"	"15mg"	"Tablet"	"Oral"	"01040200/04070200"	"Antimotility Drugs/Opioid Analgesics"
"47952"	"200645001000027108"	"76338020"	"Codeine phosphate 30mg Tablet (Wockhardt UK Ltd)"	"Codeine phosphate"	"30mg"	"Tablet"	"Oral"	"01040200/04070200"	"Antimotility Drugs/Opioid Analgesics"
"48004"	"380611000001107"	"60100020"	"Codeine 30mg tablets (Ranbaxy (UK) Ltd)"	"Codeine phosphate"	"30mg"	"Tablet"	"Oral"	"01040200/03090100/04070200"	"Antimotility Drugs/Cough Suppressants/Opioid Analgesics"
"48066"	"245555001000027107"	"92469020"	"Codeine phosphate oral solution"	"Codeine Phosphate"	""	"Oral Liquid"	"Oral"	"01040200/03090100"	"Antimotility Drugs/Cough Suppressants"
"48133"	"13386111000001109"	"75444020"	"Dihydrocodeine 30mg tablets (Almus Pharmaceuticals Ltd)"	"Dihydrocodeine tartrate"	"30mg"	"Tablet"	"Oral"	"04070200"	"Opioid Analgesics"
"48136"	"17967711000001105"	"78547020"	"Codeine 15mg tablets (Almus Pharmaceuticals Ltd)"	"Codeine phosphate"	"15mg"	"Tablet"	"Oral"	"00000000"	"Unknown"
"48153"	"302811000001108"	"49479020"	"Codeine 60mg tablets (Actavis UK Ltd)"	"Codeine phosphate"	"60mg"	"Tablet"	"Oral"	"01040200/03090100/04070200"	"Antimotility Drugs/Cough Suppressants/Opioid Analgesics"
"48311"	"8095111000001103"	"04312020"	"Co-codamol 30mg/500mg caplets (Kent Pharmaceuticals Ltd)"	"Codeine phosphate/Paracetamol"	"30mg + 500mg"	"Tablet"	"Oral"	"04070100/04070200"	"Non-opioid And Compound Analgesics/Opioid Analgesics"
"48775"	"20545311000001107"	"41378020"	"Co-codamol 30mg/500mg caplets (AMCo)"	"Codeine phosphate/Paracetamol"	"30mg + 500mg"	"Tablet"	"Oral"	"04070100/04070200"	"Non-opioid And Compound Analgesics/Opioid Analgesics"
"48964"	"35370211000001104"	"03080020"	"Codeine 3mg/5ml linctus paediatric"	"Codeine phosphate"	"600microgram/1ml"	"Oral solution"	"Oral"	"00000000"	"Unknown"
"50421"	"45825001000027100"	"53776020"	"Codeine phosphate 15mg Tablet (Celltech Pharma Europe Ltd)"	"Codeine phosphate"	"15mg"	"Tablet"	"Oral"	"01040200/04070200"	"Antimotility Drugs/Opioid Analgesics"
"50468"	"616411000001104"	"04397020"	"Codeine 15mg tablets (Alliance Healthcare (Distribution) Ltd)"	"Codeine phosphate"	"15mg"	"Tablet"	"Oral"	"01040200/03090100/04070200"	"Antimotility Drugs/Cough Suppressants/Opioid Analgesics"
"50532"	"16048911000001107"	"04444020"	"Dihydrocodeine 30mg tablets (Bristol Laboratories Ltd)"	"Dihydrocodeine tartrate"	"30mg"	"Tablet"	"Oral"	"04070200"	"Opioid Analgesics"
"50659"	"271511000001104"	"49484020"	"Codeine 60mg tablets (A A H Pharmaceuticals Ltd)"	"Codeine phosphate"	"60mg"	"Tablet"	"Oral"	"01040200/03090100/04070200"	"Antimotility Drugs/Cough Suppressants/Opioid Analgesics"
"51084"	"16425811000001104"	"04340020"	"Co-codamol 30mg/500mg capsules (AMCo)"	"Codeine phosphate/Paracetamol"	"30mg + 500mg"	"Capsule"	"Oral"	"04070100/04070200"	"Non-opioid And Compound Analgesics/Opioid Analgesics"
"51327"	"708311000001100"	"04403020"	"Codeine 30mg tablets (Alliance Healthcare (Distribution) Ltd)"	"Codeine phosphate"	"30mg"	"Tablet"	"Oral"	"01040200/03090100/04070200"	"Antimotility Drugs/Cough Suppressants/Opioid Analgesics"
"51381"	"4934311000001102"	"14677020"	"Generic Solpadeine Plus capsules"	"Paracetamol/Codeine phosphate/Caffeine"	"500mg + 8mg + 30mg"	"Capsule"	"Oral"	"04070100/04070200"	"Non-opioid And Compound Analgesics/Opioid Analgesics"
"51644"	"16048111000001109"	"04405020"	"Codeine 30mg tablets (Bristol Laboratories Ltd)"	"Codeine phosphate"	"30mg"	"Tablet"	"Oral"	"01040200/03090100/04070200"	"Antimotility Drugs/Cough Suppressants/Opioid Analgesics"
"51819"	"17886511000001109"	"04325020"	"Co-codamol 8mg/500mg capsules (Phoenix Healthcare Distribution Ltd)"	"Codeine phosphate/Paracetamol"	"8mg + 500mg"	"Capsule"	"Oral"	"04070100/04070200"	"Non-opioid And Compound Analgesics/Opioid Analgesics"
"51937"	"15990511000001103"	"04400020"	"Codeine 15mg tablets (Bristol Laboratories Ltd)"	"Codeine phosphate"	"15mg"	"Tablet"	"Oral"	"01040200/03090100/04070200"	"Antimotility Drugs/Cough Suppressants/Opioid Analgesics"
"52085"	"15969011000001100"	"04332020"	"Co-codamol 30mg/500mg effervescent tablets (Zanza Laboratories Ltd)"	"Codeine phosphate/Paracetamol"	"30mg + 500mg"	"Effervescent tablet"	"Oral"	"04070100/04070200"	"Non-opioid And Compound Analgesics/Opioid Analgesics"
"52856"	"11762111000001100"	"29961020"	"Co-codaprin 8mg/400mg tablets"	"Aspirin/Codeine phosphate"	"400mg + 8mg"	"Tablet"	"Oral"	"04070100"	"Non-opioid And Compound Analgesics"
"52888"	"114211000001109"	"04396020"	"Codeine 15mg tablets (Kent Pharmaceuticals Ltd)"	"Codeine phosphate"	"15mg"	"Tablet"	"Oral"	"01040200/03090100/04070200"	"Antimotility Drugs/Cough Suppressants/Opioid Analgesics"
"52889"	"641111000001109"	"04411020"	"Codeine 25mg/5ml oral solution (A A H Pharmaceuticals Ltd)"	"Codeine phosphate"	"5mg/1ml"	"Oral solution"	"Oral"	"01040200/03090100/04070200"	"Antimotility Drugs/Cough Suppressants/Opioid Analgesics"
"52929"	"15205411000001106"	"04399020"	"Codeine 15mg tablets (Sigma Pharmaceuticals Plc)"	"Codeine phosphate"	"15mg"	"Tablet"	"Oral"	"01040200/03090100/04070200"	"Antimotility Drugs/Cough Suppressants/Opioid Analgesics"
"52966"	"4934411000001109"	"14679020"	"Generic Solpadeine Plus tablets"	"Paracetamol/Codeine phosphate/Caffeine"	"500mg + 8mg + 30mg"	"Tablet"	"Oral"	"04070100/04070200"	"Non-opioid And Compound Analgesics/Opioid Analgesics"
"53079"	"15093811000001102"	"04304020"	"Co-dydramol 10mg/500mg tablets (Sigma Pharmaceuticals Plc)"	"Paracetamol/Dihydrocodeine tartrate"	"500mg + 10mg"	"Tablet"	"Oral"	"04070100/04070200"	"Non-opioid And Compound Analgesics/Opioid Analgesics"
"53287"	"5468911000001108"	"04326020"	"Co-codamol 30mg/500mg effervescent tablets (Alliance Healthcare (Distribution) Ltd)"	"Codeine phosphate/Paracetamol"	"30mg + 500mg"	"Effervescent tablet"	"Oral"	"04070100/04070200"	"Non-opioid And Compound Analgesics/Opioid Analgesics"
"53600"	"646511000001109"	"04408020"	"Codeine 60mg tablets (Alliance Healthcare (Distribution) Ltd)"	"Codeine phosphate"	"60mg"	"Tablet"	"Oral"	"01040200/03090100/04070200"	"Antimotility Drugs/Cough Suppressants/Opioid Analgesics"
"53617"	"303925001000027109"	"78855020"	"Ibuprofen and codeine 200mg+12.8mg Tablet (Almus Pharmaceuticals Ltd)"	"Ibuprofen/Codeine phosphate"	"200mg + 12.8mg"	"Tablet"	"Oral"	"04070200/10010100"	"Opioid Analgesics/Non-steroidal Anti-inflammatory Drugs"
"53679"	"7382511000001107"	"04328020"	"Co-codamol 30mg/500mg effervescent tablets (A A H Pharmaceuticals Ltd)"	"Codeine phosphate/Paracetamol"	"30mg + 500mg"	"Effervescent tablet"	"Oral"	"04070100/04070200"	"Non-opioid And Compound Analgesics/Opioid Analgesics"
"53702"	"9604211000001103"	"72186020"	"Co-codamol 30mg/500mg tablets (Actavis UK Ltd)"	"Codeine phosphate/Paracetamol"	"30mg + 500mg"	"Tablet"	"Oral"	"04070100/04070200"	"Non-opioid And Compound Analgesics/Opioid Analgesics"
"53999"	"204585001000027105"	"77532020"	"Codeine phosphate 60mg Tablet (Wockhardt UK Ltd)"	"Codeine phosphate"	"60mg"	"Tablet"	"Oral"	"01040200/04070200"	"Antimotility Drugs/Opioid Analgesics"
"54354"	"176811000001109"	"04439020"	"Dihydrocodeine 30mg tablets (Kent Pharmaceuticals Ltd)"	"Dihydrocodeine tartrate"	"30mg"	"Tablet"	"Oral"	"04070200"	"Opioid Analgesics"
"54713"	"20474311000001103"	"41379020"	"Dypracet 20mg/500mg tablets (Auden McKenzie (Pharma Division) Ltd)"	"Paracetamol/Dihydrocodeine tartrate"	"500mg + 20mg"	"Tablet"	"Oral"	"04070100/04070200"	"Non-opioid And Compound Analgesics/Opioid Analgesics"
"55044"	"22010711000001101"	"47328020"	"Co-codamol 30mg/500mg caplets (Waymade Healthcare Plc)"	"Codeine phosphate/Paracetamol"	"30mg + 500mg"	"Tablet"	"Oral"	"04070100/04070200"	"Non-opioid And Compound Analgesics/Opioid Analgesics"
"55309"	"17887711000001101"	"04401020"	"Codeine 15mg tablets (Phoenix Healthcare Distribution Ltd)"	"Codeine phosphate"	"15mg"	"Tablet"	"Oral"	"01040200/03090100/04070200"	"Antimotility Drugs/Cough Suppressants/Opioid Analgesics"
"55425"	"263795001000027100"	"99511020"	"Dihydrocodeine 10mg tablets"	"Dihydrocodeine Tartrate"	""	""	""	"03090100/04070200"	"Cough Suppressants/Opioid Analgesics"
"55465"	"15080211000001109"	"04339020"	"Co-codamol 30mg/500mg capsules (Sigma Pharmaceuticals Plc)"	"Codeine phosphate/Paracetamol"	"30mg + 500mg"	"Capsule"	"Oral"	"04070100/04070200"	"Non-opioid And Compound Analgesics/Opioid Analgesics"
